name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,namespace,repository_url,homepage
supports-color,5765200,4053,1422.1,chalk,1,,https://github.com/chalk/supports-color,https://github.com/chalk/supports-color#readme
fs.realpath,5532257,2476,2233.5,isaacs,1,,https://github.com/isaacs/fs.realpath,https://github.com/isaacs/fs.realpath#readme
fill-range,5461792,2299,2374.7,jonschlinkert,4,,https://github.com/jonschlinkert/fill-range,https://github.com/jonschlinkert/fill-range
to-regex-range,5300496,2203,2404.9,micromatch,2,,https://github.com/micromatch/to-regex-range,https://github.com/micromatch/to-regex-range
fsevents,5289351,5083,1040.4,fsevents,2,,https://github.com/fsevents/fsevents,https://github.com/fsevents/fsevents
statuses,5106018,2199,2320.9,jshttp,4,,https://github.com/jshttp/statuses,https://github.com/jshttp/statuses#readme
setprototypeof,5068682,1763,2873.4,wesleytodd,1,,https://github.com/wesleytodd/setprototypeof,https://github.com/wesleytodd/setprototypeof
unpipe,5053604,1163,4341.6,stream-utils,1,,https://github.com/stream-utils/unpipe,https://github.com/stream-utils/unpipe
fresh,5019855,1541,3255.4,jshttp,2,,https://github.com/jshttp/fresh,https://github.com/jshttp/fresh#readme
send,4993661,2106,2370.0,pillarjs,4,,https://github.com/pillarjs/send,https://github.com/pillarjs/send#readme
fast-deep-equal,4968905,4389,1131.9,epoberezkin,1,,https://github.com/epoberezkin/fast-deep-equal,https://github.com/epoberezkin/fast-deep-equal#readme
fast-json-stable-stringify,4957551,2347,2111.4,epoberezkin,1,,https://github.com/epoberezkin/fast-json-stable-stringify,https://github.com/epoberezkin/fast-json-stable-stringify
utils-merge,4948638,1591,3108.4,jaredhanson,1,,https://github.com/jaredhanson/utils-merge,https://github.com/jaredhanson/utils-merge#readme
finalhandler,4946523,2033,2431.9,pillarjs,3,,https://github.com/pillarjs/finalhandler,https://github.com/pillarjs/finalhandler#readme
readdirp,4905460,1914,2561.6,paulmillr,2,,https://github.com/paulmillr/readdirp,https://github.com/paulmillr/readdirp
uri-js,4745435,1923,2466.4,garycourt,1,,https://github.com/garycourt/uri-js,https://github.com/garycourt/uri-js
to-fast-properties,4631839,1647,2810.6,sindresorhus,1,,https://github.com/sindresorhus/to-fast-properties,https://github.com/sindresorhus/to-fast-properties#readme
jsesc,4543338,2094,2168.7,mathiasbynens,1,,https://github.com/mathiasbynens/jsesc,https://mths.be/jsesc
etag,4534857,2013,2251.7,jshttp,3,,https://github.com/jshttp/etag,https://github.com/jshttp/etag#readme
destroy,4522290,1337,3379.9,stream-utils,2,,https://github.com/stream-utils/destroy,https://github.com/stream-utils/destroy#readme
wrap-ansi,4485420,2301,1948.5,chalk,1,,https://github.com/chalk/wrap-ansi,https://github.com/chalk/wrap-ansi#readme
cliui,4471191,2055,2174.7,yargs,2,,https://github.com/yargs/cliui,https://github.com/yargs/cliui#readme
vary,4406042,1385,3179.0,jshttp,3,,https://github.com/jshttp/vary,https://github.com/jshttp/vary#readme
yargs-parser,4384968,3976,1102.6,yargs,3,,https://github.com/yargs/yargs-parser,https://github.com/yargs/yargs-parser#readme
toidentifier,4368444,1502,2906.5,component,4,,https://github.com/component/toidentifier,https://github.com/component/toidentifier#readme
get-caller-file,4350442,1826,2381.2,stefanpenner,1,,https://github.com/stefanpenner/get-caller-file,https://github.com/stefanpenner/get-caller-file#readme
require-directory,4338986,2217,1956.3,troygoode,1,,https://github.com/troygoode/node-require-directory,https://github.com/troygoode/node-require-directory/
sax,4312111,1856,2322.1,isaacs,1,,https://github.com/isaacs/sax-js,https://github.com/isaacs/sax-js#readme
convert-source-map,4241143,2395,1770.1,thlorenz,2,,https://github.com/thlorenz/convert-source-map,https://github.com/thlorenz/convert-source-map
isobject,4238246,1866,2270.1,jonschlinkert,3,,https://github.com/jonschlinkert/isobject,https://github.com/jonschlinkert/isobject
content-disposition,4222637,1185,3560.4,jshttp,3,,https://github.com/jshttp/content-disposition,https://github.com/jshttp/content-disposition#readme
emoji-regex,4193583,2426,1727.9,mathiasbynens,2,,https://github.com/mathiasbynens/emoji-regex,https://mths.be/emoji-regex
source-map-resolve,4169843,1036,4021.1,lydell,1,,https://github.com/lydell/source-map-resolve,https://github.com/lydell/source-map-resolve#readme
methods,4125259,1452,2839.1,jshttp,6,,https://github.com/jshttp/methods,https://github.com/jshttp/methods
cookie-signature,4104495,1056,3883.2,tj,3,,https://github.com/visionmedia/node-cookie-signature,https://github.com/visionmedia/node-cookie-signature#readme
array-flatten,4097259,1118,3661.5,blakeembrey,1,,https://github.com/blakeembrey/array-flatten,https://github.com/blakeembrey/array-flatten
ipaddr.js,4086426,1055,3869.7,whitequark,1,,https://github.com/whitequark/ipaddr.js,https://github.com/whitequark/ipaddr.js#readme
forwarded,4075117,622,6541.1,jshttp,3,,https://github.com/jshttp/forwarded,https://github.com/jshttp/forwarded#readme
repeat-string,4068394,1219,3334.7,jonschlinkert,2,,https://github.com/jonschlinkert/repeat-string,https://github.com/jonschlinkert/repeat-string
merge-descriptors,4062436,954,4253.9,sindresorhus,1,,https://github.com/sindresorhus/merge-descriptors,https://github.com/sindresorhus/merge-descriptors#readme
proxy-addr,4050584,849,4765.4,jshttp,1,,https://github.com/jshttp/proxy-addr,https://github.com/jshttp/proxy-addr#readme
electron-to-chromium,4040409,1696,2380.9,Kilian,1,,https://github.com/kilian/electron-to-chromium,https://github.com/kilian/electron-to-chromium#readme
caniuse-lite,4039789,2698,1496.8,browserslist,3,,https://github.com/browserslist/caniuse-lite,https://github.com/browserslist/caniuse-lite#readme
regjsparser,4011433,1155,3470.1,jviereck,1,,https://github.com/jviereck/regjsparser,https://github.com/jviereck/regjsparser
regexpu-core,4004137,1185,3376.2,mathiasbynens,4,,https://github.com/mathiasbynens/regexpu-core,https://mths.be/regexpu
set-blocking,3960025,1222,3238.0,yargs,1,,https://github.com/yargs/set-blocking,https://github.com/yargs/set-blocking#readme
for-in,3955204,1046,3777.7,jonschlinkert,2,,https://github.com/jonschlinkert/for-in,https://github.com/jonschlinkert/for-in
