name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
actions/checkout,1334666,0,1334666.0,actions,0,56,6775
actions/setup-node,378447,0,378447.0,actions,0,96,4422
actions/upload-artifact,263491,0,263491.0,actions,0,42,3824
actions/setup-python,238332,0,238332.0,actions,0,92,1988
actions/cache,216977,0,216977.0,actions,0,131,5073
actions/setup-java,127918,0,127918.0,actions,0,111,1716
docker/login-action,124440,0,124440.0,docker,0,14,1259
actions/download-artifact,103171,0,103171.0,actions,0,26,1683
docker/setup-buildx-action,95642,0,95642.0,docker,0,10,1164
docker/build-push-action,81822,0,81822.0,docker,0,38,4895
codecov/codecov-action,74347,0,74347.0,codecov,0,59,1574
actions/setup-go,70471,0,70471.0,actions,0,55,1547
actions/deploy-pages,70335,0,70335.0,actions,0,25,780
actions/upload-pages-artifact,68298,0,68298.0,actions,0,23,415
docker/setup-qemu-action,67348,0,67348.0,docker,0,3,514
ruby/setup-ruby,63228,0,63228.0,ruby,0,63,897
JamesIves/github-pages-deploy-action,54132,0,54132.0,JamesIves,0,39,4493
peaceiris/actions-gh-pages,47623,0,47623.0,peaceiris,0,39,5093
skills/action-update-step,43959,0,43959.0,skills,0,4,32
softprops/action-gh-release,41700,0,41700.0,softprops,0,55,5118
actions/github-script,40495,0,40495.0,actions,0,58,4635
actions/stale,39577,0,39577.0,actions,0,81,1570
actions/create-release,39372,0,39372.0,actions,0,20,1366
actions/setup-dotnet,35709,0,35709.0,actions,0,59,1050
peter-evans/create-pull-request,31359,0,31359.0,peter-evans,0,32,2567
actions/configure-pages,31090,0,31090.0,actions,0,16,180
docker/metadata-action,30389,0,30389.0,docker,0,16,1029
crazy-max/ghaction-github-pages,28308,0,28308.0,crazy-max,0,12,488
actions-rs/toolchain,23365,0,23365.0,actions-rs,0,11,602
Platane/snk,23061,0,23061.0,Platane,0,9,5003
ad-m/github-push-action,22134,0,22134.0,ad-m,0,25,1082
actions/labeler,20777,0,20777.0,actions,0,59,2261
actions/upload-release-asset,20717,0,20717.0,actions,0,8,704
