name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
punycode,24783,0,24783.0,mathiasbynens,0,18,1647
source-map-url,18922,0,18922.0,lydell,0,,40
eve-raphael,21955,1,10977.5,tomasAlabes,0,,4
resolve-url,18924,1,9462.0,lydell,0,,54
headjs,8008,0,8008.0,headjs,0,2,4139
jquery-sparkline,5774,0,5774.0,rkgrep,0,,5
bootstrap-colorpicker,4672,0,4672.0,itsjavi,0,,1369
jvectormap,4445,0,4445.0,bjornd,0,16,1392
inputmask,4388,0,4388.0,RobinHerbots,0,110,6459
blueimp-tmpl,3856,0,3856.0,blueimp,0,,1722
datatables.net-bs,9417,2,3139.0,DataTables,0,4,16
bootstrap-slider,2997,0,2997.0,pammacdotnet,0,,5
uwidget,2933,0,2933.0,guillaumepotier,0,,6
jquery-slimscroll,5181,1,2590.5,rochal,0,36,2224
datatables-plugins,2290,0,2290.0,DataTables,0,206,1060
datatables-responsive,2264,0,2264.0,DataTables,0,14,147
chart.js,6173,2,2057.7,chartjs,0,525,66374
datatables.net,18184,8,2020.4,DataTables,0,3,54
fancybox,1861,0,1861.0,fancyapps,0,10,7272
angular-cache-buster,1824,0,1824.0,saintmac,0,,60
chai-jquery,24739,13,1767.1,chaijs,0,,372
ember-simple-auth,1533,0,1533.0,simplabs,0,,4
raphael,25852,16,1520.7,DmitryBaranovskiy,0,55,11296
bootstrap-timepicker,2956,1,1478.0,jdewit,0,52,1634
transitionize,2845,1,1422.5,abpetkov,0,,89
html5-boilerplate,13631,9,1363.1,h5bp,0,317,57204
eve,2674,1,1337.0,,0,,
flot.tooltip,2652,1,1326.0,krzysu,0,37,188
google-caja,1324,0,1324.0,minrk,0,,2
morris.js,6521,4,1304.2,oesmith,0,,22
jquery-validation-unobtrusive,3872,2,1290.7,aspnet,0,26,258
ember-cli-shims,17908,13,1279.1,ember-cli,0,,45
ic-ajax,1274,0,1274.0,instructure,0,,166
pdfmake,1263,0,1263.0,bpampuch,0,101,12114
ember-cli-test-loader,16189,12,1245.3,ember-cli,0,17,10
ember-load-initializers,14454,11,1204.5,ember-cli,0,32,16
estraverse,2408,1,1204.0,estools,0,,923
sizzle,47041,39,1176.0,jquery,0,65,6301
angular-material-checkbox,1118,0,1118.0,Sattvabit,0,,5
swagger-ui,2195,1,1097.5,swagger-api,0,554,25512
bytebuffer,1095,0,1095.0,,0,,
ember-resolver,13902,12,1069.4,ember-cli,0,,86
blueimp-canvas-to-blob,4122,3,1030.5,blueimp,0,,1477
flot-spline,1019,0,1019.0,johnpozy,0,,4
skycons,1013,0,1013.0,karlosgliberal,0,,1
jquery_lazyload,1002,0,1002.0,spencermefford,0,,2
datatables.net-fixedheader,2903,2,967.7,DataTables,0,4,5
datatables.net-scroller,2892,2,964.0,DataTables,0,3,3
jquery.hotkeys,2753,2,917.7,jeresig,0,,2555
datatables.net-buttons,3628,3,907.0,DataTables,0,4,10
uglify-js,8675,9,867.5,mishoo,0,140,13370
blueimp-load-image,4051,4,810.2,blueimp,0,,4466
datatables.net-responsive,3090,3,772.5,DataTables,0,3,7
loader.js,13745,17,763.6,ember-cli,0,,79
bootstrap-material-design,2167,2,722.3,FezVrasta,0,,24
angular-google-maps,1404,1,702.0,angular-ui,0,,2524
markdown,3390,4,678.0,evilstreak,0,,7702
ember-qunit-notifications,6627,9,662.7,DockYard,0,,1
keymaster,1322,1,661.0,madrobby,0,34,6530
angular-loader,10467,15,654.2,angular,0,,15
fastclick,18310,27,653.9,ftlabs,0,,18586
jquery-mousewheel,9454,14,630.3,jquery,0,16,3912
long,1202,1,601.0,dcodeIO,0,18,912
ember-data,13643,22,593.2,components,0,,15
ionic,13071,22,568.3,ionic-team,0,541,51983
sinon-chai,25571,45,555.9,chaijs,0,32,1089
jqvmap,1111,1,555.5,,0,,
outlayer,1071,1,535.5,metafizzy,0,,164
cropper,1024,1,512.0,fengyuanchen,0,,7719
ember,21137,41,503.3,components,0,,61
fetch,5875,11,489.6,JakeChampion,0,86,25940
jquery-validation,5132,10,466.5,jquery-validation,0,244,10355
nprogress,2749,5,458.2,rstacruz,0,,26386
sinon,65597,149,437.3,sinonjs,0,417,9733
bootstrap-datepicker,6973,15,435.8,uxsolutions,0,385,12671
ember-mocha,1268,2,422.7,emberjs,0,,1
angular-dynamic-locale,2468,5,411.3,lgalfaso,0,26,320
angular-ui-utils,9421,22,409.6,angular-ui,0,,1425
ember-qunit,6114,14,407.6,rwjblue,0,,0
angular-translate-storage-cookie,2776,6,396.6,angular-translate,0,,9
jquery-hammerjs,1562,3,390.5,hammerjs,0,,384
angular-socket-io,2653,6,379.0,btford,0,,1505
malihu-custom-scrollbar-plugin,1119,2,373.0,malihu,0,,4097
jasmine-fixture,3636,9,363.6,searls,0,,259
modernizr,25898,71,359.7,Modernizr,0,340,25673
google-code-prettify,10087,28,347.8,spencewood,0,,87
select2,12959,37,341.0,ivaynberg,0,,19
switchery,1009,2,336.3,abpetkov,0,,2045
angular-cookies,48699,145,333.6,angular,0,,86
angular-loading-bar,6278,18,330.4,chieffancypants,0,37,5141
get-size,1316,3,329.0,desandro,0,,175
bootstrap-sass-official,16982,52,320.4,twbs,0,123,12541
ng-file-upload,7492,23,312.2,danialfarid,0,,41
font-awesome,66931,214,311.3,FortAwesome,0,5,76137
foundation,6835,21,310.7,foundation,0,,220
todomvc-common,1474,4,294.8,tastejs,0,,58
jquery-knob,6187,20,294.6,aterrien,0,,5017
font-roboto,3487,11,290.6,ungryfox,0,,1
validator-js,1451,4,290.2,validatorjs,0,501,22517
autosize,1130,3,282.5,jackmoore,0,33,5113
angular-resource,64934,231,279.9,angular,0,,92
bootstrap,197659,723,273.0,twbs,0,1637,173847
json3,27079,103,260.4,bestiejs,0,,1020
flot,5637,21,256.2,flot,0,93,5931
tools,1274,4,254.8,qqmmgg123,0,,0
jquery.easy-pie-chart,1527,5,254.5,rendro,0,,2069
angular-ui-router,57144,225,252.8,angular-ui,0,,14
compass-mixins,1005,3,251.3,Igosuki,0,,592
chartist,2756,10,250.5,gionkunz,0,84,93
sass-bootstrap,2954,11,246.2,jlong,0,,2258
jquery-file-upload,1943,7,242.9,blueimp,0,113,30872
text,1203,4,240.6,requirejs,0,,924
eonasdan-bootstrap-datetimepicker,1675,6,239.3,Eonasdan,0,150,7153
ckeditor,6343,26,234.9,ckeditor,0,12,523
holderjs,2811,11,234.3,imsky,0,42,5823
velocity,2107,8,234.1,julianshapiro,0,,17286
moment,68295,296,229.9,moment,0,695,48089
jquery.autocomplete,1379,5,229.8,julien-c,0,,1
fullcalendar,8657,37,227.8,fullcalendar,0,161,20000
toastr,2949,12,226.8,johnpapa,0,,24
jquery-ui,30882,137,223.8,components,0,,165
angular-route,80053,358,223.0,angular,0,,143
angular-aria,10026,44,222.8,angular,0,,24
bootstrap-daterangepicker,7225,32,218.9,dangrossman,0,161,10991
angular-motion,1750,7,218.8,mgcrea,0,,447
angular-animate,62985,292,215.0,angular,0,,138
angular-i18n,4941,22,214.8,angular,0,,125
requirejs,93764,442,211.7,requirejs,0,4,34
normalize.css,3152,14,210.1,necolas,0,42,53622
jquery-placeholder,1877,8,208.6,mathiasbynens,0,,3949
animate.css,12833,61,207.0,animate-css,0,131,82039
qunit,74168,359,206.0,components,0,,1
paper-elements,4935,23,205.6,PolymerElements,0,,88
bootstrap-tagsinput,1026,4,205.2,mdbootstrap,0,,3068
codemirror,6660,32,201.8,codemirror,0,1007,27109
datatables,6803,33,200.1,DataTables,0,,7402
jquery,363813,1836,198.0,jquery,0,342,59626
angular-bootstrap,44265,224,196.7,angular-ui,0,,157
