name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
winapi-x86_64-pc-windows-gnu,102690,3,25672.5,retep998,1,166,1920
winapi-i686-pc-windows-gnu,102690,3,25672.5,retep998,1,166,1920
wasm-bindgen-macro,54075,2,18025.0,wasm-bindgen,2,476,8745
proc-macro-error-attr,35623,1,17811.5,CreepySkeleton,1,,14
windows_i686_gnu,56593,3,14148.3,microsoft,1,68,9853
windows_x86_64_msvc,56593,3,14148.3,microsoft,1,82,11627
windows_x86_64_gnu,56593,3,14148.3,microsoft,1,68,9853
windows_i686_msvc,56593,3,14148.3,microsoft,1,82,11773
windows_aarch64_msvc,56549,3,14137.3,microsoft,1,82,11773
wasm-bindgen-backend,54074,3,13518.5,rustwasm,2,510,7755
tinyvec_macros,40345,2,13448.3,Soveu,1,,4
windows_x86_64_gnullvm,49880,3,12470.0,microsoft,1,82,11773
windows_aarch64_gnullvm,49880,3,12470.0,microsoft,1,82,11627
ppv-lite86,61953,5,10325.5,cryptocorrosion,1,10,54
wasm-bindgen-shared,54095,6,7727.9,rustwasm,2,510,7755
futures-macro,37316,4,7463.2,rust-lang,2,333,5395
iana-time-zone-haiku,14284,1,7142.0,strawlab,2,14,46
errno-dragonfly,21292,2,7097.3,mneumann,1,,3
pin-project-internal,27101,3,6775.3,taiki-e,1,12,606
wasm-bindgen-macro-support,54051,7,6756.4,rustwasm,2,510,7755
hermit-abi,76231,11,6352.6,hermit-os,2,23,1852
darling_macro,18673,2,6224.3,TedDriggs,1,38,1206
android_system_properties,16520,2,5506.7,nical,1,,5
want,32878,5,5479.7,seanmonstar,1,2,41
thiserror-impl,53839,9,5383.9,dtolnay,1,18,5285
android-tzdata,10728,1,5364.0,RumovZ,1,1,3
redox_users,26298,4,5259.6,redox-os,2,,3
matchers,15171,2,5057.0,hawkw,1,3,14
vswhom-sys,9679,1,4839.5,nabijaczleweli,1,,1
num_enum_derive,14320,2,4773.3,illicitonion,1,16,263
fuchsia-zircon-sys,23672,4,4734.4,,10,,
stdweb-internal-macros,9222,1,4611.0,koute,1,65,3461
stdweb-internal-runtime,9173,1,4586.5,koute,1,65,3457
fdeflate,13750,2,4583.3,image-rs,1,4,23
fuchsia-cprng,17090,3,4272.5,,4,,
cxxbridge-macro,8423,1,4211.5,dtolnay,1,63,6523
cxxbridge-flags,8403,1,4201.5,dtolnay,1,63,6563
fuchsia-zircon,23672,5,3945.3,,3,,
cloudabi,19640,4,3928.0,NuxiNL,1,,135
async-stream-impl,7810,1,3905.0,tokio-rs,1,19,726
darling_core,18675,4,3735.0,TedDriggs,1,38,1206
malloc_buf,14812,3,3703.0,SSheldon,1,,7
try-lock,32872,8,3652.4,seanmonstar,1,3,38
ndk-macro,7293,1,3646.5,rust-mobile,1,,1269
minimal-lexical,17172,4,3434.4,Alexhuszagh,1,,23
objc_exception,13665,3,3416.3,SSheldon,1,,7
adler,36783,10,3343.9,jonas-schievink,1,,11
dirs-sys-next,13346,3,3336.5,xdg-rs,2,35,202
wepoll-ffi,6498,1,3249.0,aclysma,1,,3
vswhom,9679,2,3226.3,nabijaczleweli,1,,0
futf,6450,1,3225.0,servo,5,,8
match_cfg,6028,1,3014.0,gnzlbg,1,,9
linux-raw-sys,36061,11,3005.1,sunfishcode,1,24,62
num_threads,12011,3,3002.8,jhpratt,2,5,17
windows-targets,44382,14,2958.8,microsoft,1,68,9853
line-wrap,11764,3,2941.0,marshallpierce,1,,
cssparser-macros,5790,1,2895.0,servo,1,61,821
dtoa-short,5782,1,2891.0,upsuper,2,5,4
rand_jitter,11100,3,2775.0,rust-random,1,16,45
time-core,10790,3,2697.5,time-rs,1,67,1257
gtk3-macros,5383,1,2691.5,gtk-rs,3,232,497
serde_spanned,16148,5,2691.3,toml-rs,1,145,947
alloc-stdlib,7804,2,2601.3,dropbox,1,3,176
inotify-sys,7398,2,2466.0,hannobraun,1,,7
cexpr,12135,4,2427.0,jethrogb,2,14,49
serialize-to-javascript-impl,4810,1,2405.0,chippers,1,,7
backtrace-sys,9353,3,2338.3,rust-lang,1,157,589
radium,9263,3,2315.8,ferrilab,2,34,55
time-macros-impl,6908,2,2302.7,time-rs,1,46,1025
ref-cast-impl,4516,1,2258.0,dtolnay,1,4,214
gdkwayland-sys,8833,3,2208.3,gtk-rs,3,232,508
wasi,78872,35,2190.9,bytecodealliance,2,16,327
codec,2185,0,2185.0,donuts799,1,,0
webview2-com-sys,4343,1,2171.5,wravery,1,6,61
webview2-com-macros,4343,1,2171.5,wravery,1,6,61
libsecp256k1-gen-ecmult,4238,1,2119.0,paritytech,1,27,184
libsecp256k1-gen-genmult,4238,1,2119.0,paritytech,1,27,185
parking_lot_core,54879,26,2032.6,Amanieu,2,103,2550
security-framework-sys,28332,13,2023.7,kornelski,2,57,278
openssl-macros,11980,5,1996.7,,1,,
anstyle-wincon,5680,2,1893.3,rust-cli,1,31,149
borsh-schema-derive-internal,3742,1,1871.0,near,1,28,464
deranged,7476,3,1869.0,jhpratt,1,3,38
rdrand,16563,8,1840.3,nagisa,1,4,25
equivalent,16485,8,1831.7,indexmap-rs,1,,35
time-macros,18194,9,1819.4,time-rs,1,67,1257
thin-slice,5394,2,1798.0,heycam,1,,4
crc-catalog,5360,2,1786.7,akhilles,1,5,10
foreign-types-shared,35673,19,1783.7,sfackler,1,9,55
polyval,7113,3,1778.3,RustCrypto,1,7,27
schannel,30227,16,1778.1,steffengy,2,33,50
winapi-util,59492,34,1699.8,BurntSushi,1,5,73
cranelift-bforest,3378,1,1689.0,bytecodealliance,6,514,17063
cranelift-codegen-meta,3365,1,1682.5,bytecodealliance,6,514,17063
redox_syscall,78237,46,1664.6,redox-os,2,,10
derive_builder_macro,3318,1,1659.0,colin-kiegel,1,39,1476
devise_codegen,3314,1,1657.0,SergioBenitez,1,1,9
windows-tokens,4830,2,1610.0,microsoft,1,82,11773
ouroboros_macro,3188,1,1594.0,someguynamedjosh,1,27,653
soup2-sys,4758,2,1586.0,,1,,
cpufeatures,39531,24,1581.2,RustCrypto,1,71,438
sct,17277,10,1570.6,rustls,1,10,53
soup2,4671,2,1557.0,,2,,
lebe,3077,1,1538.5,johannesvollmer,1,,8
smawk,3051,1,1525.5,mgeisler,1,2,6
ptr_meta_derive,3031,1,1515.5,rkyv,1,,21
fake-simd,13612,8,1512.4,RustCrypto,1,71,438
oboe-sys,3020,1,1510.0,katyo,1,12,67
signal-hook-registry,33065,21,1503.0,vorner,1,27,725
