name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
org.clojure/clojure,35997,0,35997.0,clojure,0,191,10745
ring/ring-defaults,3988,0,3988.0,ring-clojure,1,11,349
ring/ring-jetty-adapter,3983,0,3983.0,ring-clojure,1,157,3831
ring/ring-core,3472,0,3472.0,ring-clojure,1,157,3841
com.taoensso/timbre,2600,0,2600.0,taoensso,1,69,1473
ring/ring-json,2264,0,2264.0,ring-clojure,1,,319
prismatic/schema,1432,0,1432.0,plumatic,1,81,2451
com.stuartsierra/component,1275,0,1275.0,stuartsierra,1,,2124
ring/ring-devel,1223,0,1223.0,ring-clojure,1,157,3677
org.omcljs/om,1140,0,1140.0,omcljs,1,,6640
mysql/mysql-connector-java,1043,0,1043.0,,1,,
com.novemberain/monger,997,0,997.0,michaelklishin,1,62,484
cljsjs/react,723,0,723.0,cljsjs,1,667,784
com.cemerick/piggieback,668,0,668.0,nrepl,1,23,482
alandipert/storage-atom,622,0,622.0,alandipert,1,,192
me.raynes/fs,621,0,621.0,Raynes,1,36,453
prismatic/dommy,606,0,606.0,plumatic,1,,756
com.taoensso/carmine,572,0,572.0,taoensso,1,23,1171
com.taoensso/tower,458,0,458.0,taoensso,1,12,278
metosin/ring-http-response,432,0,432.0,metosin,1,17,152
com.datomic/datomic-free,413,0,413.0,,1,,
robert/hooke,364,0,364.0,technomancy,1,,361
com.taoensso/nippy,345,0,345.0,taoensso,1,13,1080
org.immutant/web,306,0,306.0,immutant,1,,443
metosin/reitit,299,0,299.0,metosin,1,131,1535
thheller/shadow-cljs,286,0,286.0,thheller,1,64,2351
io.pedestal/pedestal.service,284,0,284.0,pedestal,1,117,2689
ring/ring-servlet,283,0,283.0,ring-clojure,1,157,3677
com.cemerick/friend,277,0,277.0,cemerick,1,,1151
ring/ring-codec,271,0,271.0,ring-clojure,1,13,65
net.mikera/core.matrix,260,0,260.0,mikera,1,,710
com.andrewmcveigh/cljs-time,259,0,259.0,andrewmcveigh,1,,340
com.cemerick/url,253,0,253.0,cemerick,1,,250
buddy/buddy-auth,253,0,253.0,,1,,
io.pedestal/pedestal.jetty,253,0,253.0,pedestal,1,117,2689
metosin/muuntaja,248,0,248.0,metosin,1,52,474
metosin/spec-tools,243,0,243.0,metosin,1,48,599
com.draines/postal,239,0,239.0,drewr,1,37,586
buddy/buddy-hashers,230,0,230.0,funcool,1,9,79
me.raynes/conch,224,0,224.0,Raynes,1,11,542
prismatic/plumbing,211,0,211.0,plumatic,1,,1494
ring/ring-mock,194,0,194.0,ring-clojure,1,,187
metosin/compojure-api,192,0,192.0,metosin,1,54,1120
com.novemberain/langohr,189,0,189.0,michaelklishin,1,28,352
im.chit/cronj,188,0,188.0,zcaudate-me,1,,107
prismatic/om-tools,187,0,187.0,plumatic,1,,433
funcool/struct,179,0,179.0,funcool,1,,117
com.taoensso/sente,175,0,175.0,taoensso,1,,1782
yogthos/config,172,0,172.0,yogthos,1,11,165
day8.re-frame/http-fx,171,0,171.0,day8,1,,261
buddy/buddy-sign,163,0,163.0,,1,,
luminus/ring-ttl-session,161,0,161.0,luminus-framework,1,,3
overtone/at-at,156,0,156.0,overtone,1,7,286
incanter/incanter-core,149,0,149.0,incanter,1,132,2250
com.rpl/specter,148,0,148.0,redplanetlabs,1,26,2597
io.aviso/pretty,145,0,145.0,clj-commons,1,,616
com.facebook/react,139,0,139.0,swannodette,1,,27
metosin/jsonista,138,0,138.0,metosin,1,15,405
danlentz/clj-uuid,135,0,135.0,danlentz,1,14,257
cljsjs/react-dom,134,0,134.0,cljsjs,1,667,785
ring/ring-session-timeout,123,0,123.0,ring-clojure,1,2,35
fogus/ring-edn,118,0,118.0,tailrecursion,1,,64
net.mikera/vectorz-clj,118,0,118.0,mikera,1,,200
org.clojure-android/clojure,117,0,117.0,clojure,1,191,10718
dk.ative/docjure,107,0,107.0,mjul,1,34,642
clojurewerkz/elastisch,105,0,105.0,clojurewerkz,1,,391
org.danlarkin/clojure-json,104,0,104.0,,1,,
duct/core,102,0,102.0,duct-framework,1,14,78
jarohen/chord,101,0,101.0,jarohen,1,,439
cider/cider-nrepl,98,0,98.0,clojure-emacs,1,115,721
com.taoensso/encore,98,0,98.0,taoensso,1,21,285
koan-engine,196,1,98.0,functional-koans,1,,31
net.cgrand/moustache,96,0,96.0,cgrand,1,,261
org.flatland/ordered,95,0,95.0,clj-commons,1,20,265
aysylu/loom,94,0,94.0,aysylu,1,41,891
cljsjs/d3,94,0,94.0,cljsjs,1,667,785
venantius/accountant,93,0,93.0,venantius,1,22,251
clojurewerkz/neocons,92,0,92.0,michaelklishin,1,,206
incanter/incanter-charts,90,0,90.0,incanter,1,132,2253
com.cemerick/drawbridge,88,0,88.0,nrepl,1,,185
binaryage/devtools,88,0,88.0,binaryage,1,9,1117
luminus-log4j,88,0,88.0,luminus-framework,1,,0
com.ashafa/clutch,84,0,84.0,clojure-clutch,1,,226
com.postspectacular/rotor,83,0,83.0,,1,,
ring/ring-anti-forgery,80,0,80.0,ring-clojure,1,,124
clojurewerkz/quartzite,79,0,79.0,,1,,
duct/module.logging,79,0,79.0,duct-framework,1,2,4
duct/module.web,78,0,78.0,duct-framework,1,7,22
metosin/ring-middleware-format,76,0,76.0,metosin,1,,7
com.fzakaria/slf4j-timbre,76,0,76.0,fzakaria,1,8,93
duct/module.sql,76,0,76.0,duct-framework,1,,6
net.n01se/clojure-jna,75,0,75.0,Chouser,1,,277
com.amazonaws/aws-java-sdk,74,0,74.0,,1,,
metosin/ring-swagger-ui,74,0,74.0,metosin,1,11,50
duct/module.ataraxy,72,0,72.0,duct-framework,1,,5
com.appsflyer/donkey,71,0,71.0,AppsFlyer,1,4,295
buddy/buddy-core,69,0,69.0,,1,,
com.layerware/hugsql,68,0,68.0,layerware,1,18,699
macchiato/core,66,0,66.0,macchiato-framework,1,16,380
macchiato/env,66,0,66.0,macchiato-framework,1,,4
duct/database.sql.hikaricp,64,0,64.0,duct-framework,1,,5
reagent-forms,254,3,63.5,reagent-project,1,,339
org.flatland/useful,63,0,63.0,clj-commons,1,,367
duct/handler.sql,63,0,63.0,duct-framework,1,,3
com.novemberain/validateur,62,0,62.0,michaelklishin,1,,182
me.grison/duct-immutant,62,0,62.0,agrison,1,,1
noir-exception,186,2,62.0,yogthos,1,,4
duct/server.http.http-kit,62,0,62.0,duct-framework,1,,2
duct/server.http.aleph,62,0,62.0,duct-framework,1,,1
me.grison/duct-mongodb,62,0,62.0,agrison,1,,5
net.mikera/imagez,61,0,61.0,mikera,1,,306
bk/ring-gzip,60,0,60.0,bertrandk,1,,39
metosin/porsas,60,0,60.0,metosin,1,,97
lobos,118,1,59.0,budu,1,,265
metosin/pohjavirta,59,0,59.0,,1,,
io.pedestal/pedestal.app,59,0,59.0,,1,,
clojurewerkz/urly,58,0,58.0,michaelklishin,1,,116
sonian/carica,57,0,57.0,sonian,1,,146
luminus-undertow,57,0,57.0,luminus-framework,1,,2
com.github.seancorfield/next.jdbc,56,0,56.0,seancorfield,1,29,819
com.cemerick/clojurescript.test,56,0,56.0,cemerick,1,,164
io.pedestal/pedestal.app-tools,56,0,56.0,,1,,
kibu/pushy,55,0,55.0,kibu-australia,1,,222
com.lucasbradstreet/cljs-uuid-utils,55,0,55.0,lbradstreet,1,,29
funcool/promesa,54,0,54.0,funcool,1,33,530
jepsen.zookeeper,108,1,54.0,,1,,
shoreleave/shoreleave-remote,52,0,52.0,shoreleave,1,,50
tailrecursion/cljs-priority-map,51,0,51.0,tailrecursion,1,,33
circleci/clj-yaml,51,0,51.0,CircleCI-Archived,1,,45
bouncer,654,12,50.3,theleoborges,1,,364
