name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
Folly,71526,0,71526.0,facebook,1,1596,29975
Flipper,34784,0,34784.0,facebook,1,534,13428
Flipper-PeerTalk,34780,0,34780.0,priteshrnandgaonkar,1,,1
React-Core,89950,2,29983.3,sjnscythe,1,,0
Flipper-RSocket,34763,1,17381.5,rsocket,1,,256
Flipper-Glog,34735,1,17367.5,lblasa,2,,0
Flipper-DoubleConversion,34735,1,17367.5,lblasa,2,,1
Flipper-Folly,34783,2,11594.3,facebook,1,1596,29975
FlipperKit,34782,2,11594.0,facebook,1,534,13428
DoubleConversion,90951,8,10105.7,google,1,66,1170
glog,90833,8,10092.6,google,1,153,7343
CocoaLibEvent,17671,1,8835.5,e314521,1,,0
React-Codegen,7837,0,7837.0,sjnscythe,1,,0
FlutterMacOS,7652,0,7652.0,,1,,
hermes-engine,7208,0,7208.0,,3,,
libevent,13373,1,6686.5,libevent,2,334,11569
fmt,12875,1,6437.5,fmtlib,1,434,22669
boost,12873,1,6436.5,,2,,
React,98579,16,5798.8,facebook,4,3812,124273
Flipper-Fmt,10777,1,5388.5,priteshrnandgaonkar,1,,0
Flipper-Boost-iOSX,10576,1,5288.0,priteshrnandgaonkar,1,,0
boost-for-react-native,47486,10,4316.9,react-native-community,2,10,88
Yoga,76330,21,3469.5,facebook,4,314,18299
FirebaseCoreDiagnostics,16650,4,3330.0,firebase,1,269,6393
YogaKit,34870,10,3170.0,facebook,4,314,18299
gRPC-C++,8085,2,2695.0,grpc,6,7,50
BoringSSL-GRPC,8074,2,2691.3,google,7,224,2023
abseil,4841,1,2420.5,abseil,2,236,16321
GTMSessionFetcher,21622,10,1965.6,google,2,30,266
GoogleToolboxForMac,8691,4,1738.2,google,2,34,1185
Libuv-gRPC,1435,0,1435.0,libuv,1,572,25919
Flutter,38590,27,1378.2,,1,,
FirebaseCoreDiagnosticsInterop,4019,2,1339.7,firebase,1,269,6393
GoogleDataTransport,17397,14,1159.8,google,1,28,53
CapacitorCordova,3355,2,1118.3,ionic-team,4,304,14072
GoogleDataTransportCCTSupport,4081,3,1020.3,firebase,1,269,6393
FirebaseCoreInternal,3042,2,1014.0,firebase,1,269,6393
nanopb,24745,24,989.8,nanopb,2,154,4956
gRPC-Core,8564,8,951.6,grpc,8,1079,43805
FirebaseAuthInterop,5555,5,925.8,firebase,1,269,6393
GoogleAppMeasurement,13995,15,874.7,,1,,
FirebaseInstanceID,10886,12,837.4,firebase,1,269,6393
Nimble-Snapshots,823,0,823.0,ashfurrow,6,56,321
PromisesObjC,17034,21,774.3,google,3,42,3835
leveldb-library,12292,15,768.3,firebase,1,,16
Specta,2246,2,748.7,specta,4,,2320
FBSnapshotTestCase,5507,7,688.4,facebookarchive,4,,2656
FirebaseInstallations,10090,14,672.7,firebase,1,269,6393
FirebaseAuth,13857,20,659.9,firebase,1,269,6393
CodePush,644,0,644.0,,1,,
GoogleUtilities,24045,38,616.5,google,1,31,120
CapacitorHaptics,605,0,605.0,ionic-team,4,,0
shared,580,0,580.0,,1,,
FirebaseStorage,6768,11,564.0,firebase,1,269,6393
Expecta+Snapshots,560,0,560.0,dblock,6,19,93
OCMock,7274,12,559.5,erikdoe,1,94,2171
FirebaseDatabase,6974,12,536.5,firebase,1,269,6393
DKPhotoGallery,1579,2,526.3,zhangao0086,1,,57
FirebaseABTesting,1454,2,484.7,firebase,1,269,6393
FirebaseFirestore,9153,18,481.7,firebase,1,269,6381
GTMAppAuth,4681,11,390.1,google,4,17,412
FirebaseAppCheckInterop,2715,6,387.9,firebase,1,269,6393
OpenSSL-Universal,35629,99,356.3,krzyzanowskim,1,27,983
FirebaseCore,26180,78,331.4,firebase,1,269,6393
FirebaseAnalytics,18400,56,322.8,,1,,
CapacitorStatusBar,636,1,318.0,ionic-team,4,73,627
Google-Maps-iOS-Utils,3581,11,298.4,googlemaps,5,43,752
BDBOAuth1Manager,848,2,282.7,bdbergeron,1,,101
MTBBarcodeScanner,846,2,282.0,mikebuss,1,,1086
OrderedSet,1125,3,281.3,Weebly,2,,247
FirebaseAnalyticsInterop,2247,7,280.9,firebase,1,269,6393
SOCKit,710,2,236.7,NimbusKit,1,,426
Firebase,27679,116,236.6,firebase,1,269,6393
Quick,4383,18,230.7,Quick,9,178,9837
Expecta,2743,11,228.6,specta,4,63,1586
CapacitorApp,674,2,224.7,ionic-team,4,73,627
FirebaseFunctions,840,3,210.0,firebase,1,269,6393
CapacitorKeyboard,608,2,202.7,ionic-team,4,73,627
GoogleUtilitiesComponents,598,2,199.3,firebase,1,269,6393
Nimble,4757,25,183.0,Quick,9,138,4844
DKImagePickerController,1987,10,180.6,zhangao0086,2,67,1506
FirebaseCoreExtension,1176,6,168.0,firebase,1,269,6393
FirebasePerformance,823,4,164.6,firebase,1,269,6393
Objection,649,3,162.3,atomicobject,1,,1842
AppAuth,5098,34,145.7,openid,4,59,1936
R.swift.Library,548,3,137.0,mac-cain13,1,,134
Fabric,4852,35,134.8,,1,,
MLKitCommon,655,4,131.0,,6,,
CocoaAsyncSocket,38311,299,127.7,robbiehanson,3,64,12466
Kiwi,1293,10,117.5,kiwi-bdd,5,104,4134
Crashlytics,4482,39,112.1,,1,,
MLKitVision,642,5,107.0,,6,,
AppCenter,735,6,105.0,,4,,
FirebaseMessaging,5990,57,103.3,firebase,1,269,6393
