name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
matplotlib,10108,4,2021.6,matplotlib,0,1730,21917
pytest-cov,1136,0,1136.0,pytest-dev,0,94,1961
ca-certificates,3409,3,852.3,curl,0,1348,39671
_libgcc_mutex,1679,1,839.5,AnacondaRecipes,0,,1
pip,13266,16,780.4,pypa,0,820,9965
qt,1385,1,692.5,,0,,
ffmpeg,679,0,679.0,,0,,
pixman,669,0,669.0,pixman,0,169,26
olefile,1277,1,638.5,decalage2,0,23,247
wheel,5672,8,630.2,pypa,0,82,539
libedit,1862,2,620.7,,0,,
libgfortran,594,0,594.0,,0,,
webencodings,1166,1,583.0,gsnedders,0,,39
mkl_fft,1717,2,572.3,IntelPython,0,9,70
wincertstore,572,0,572.0,,0,,
mkl_random,1706,2,568.7,IntelPython,0,9,26
testpath,1063,1,531.5,jupyter,0,8,31
biopython,507,0,507.0,biopython,0,483,4780
backports.functools_lru_cache,497,0,497.0,jaraco,0,,37
torchvision,1902,3,475.5,pytorch,0,634,17223
pycparser,1894,3,473.5,eliben,0,85,3428
harfbuzz,466,0,466.0,harfbuzz,0,255,5055
ld_impl_linux-64,1398,2,466.0,,0,,
graphite2,457,0,457.0,silnrsi,0,21,173
backcall,1336,2,445.3,takluyver,0,,19
zipp,1280,2,426.7,jaraco,0,34,67
mkl_random,1706,3,426.5,IntelPython,0,9,26
ca-certificates,3409,7,426.1,conda-forge,0,13,0
jupyter,3807,8,423.0,jupyter,0,95,15222
pandoc,1217,2,405.7,jgm,0,583,39483
sphinx_rtd_theme,806,1,403.0,readthedocs,0,118,4970
seaborn,3503,8,389.2,mwaskom,0,220,13520
zarr,1165,2,388.3,zarr-developers,0,101,1860
openblas,387,0,387.0,xianyi,0,,5058
pysocks,1516,3,379.0,Anorov,0,33,1261
jbig,369,0,369.0,,0,,
pyrsistent,1073,2,357.7,tobgu,0,69,2120
widgetsnbextension,1422,3,355.5,jupyter-widgets,0,232,3274
nettle,355,0,355.0,nettle,0,,5
openh264,352,0,352.0,cisco,0,144,5759
brotlipy,1023,2,341.0,,0,,
icc_rt,340,0,340.0,,0,,
zeromq,2003,5,333.8,zeromq,0,,10579
appnope,327,0,327.0,minrk,0,4,57
appnope,327,0,327.0,minrk,0,4,57
libcxxabi,314,0,314.0,llvm,0,5333,35102
kiwisolver,1569,4,313.8,nucleic,0,29,741
nodejs,1249,3,312.3,nodejs,0,3990,113927
backports,615,1,307.5,brandon-rhodes,0,,2
sip,1223,3,305.8,Python-SIP,0,,60
ptyprocess,1182,3,295.5,pexpect,0,17,230
win_inet_pton,295,0,295.0,hickeroar,0,,25
win_inet_pton,295,0,295.0,hickeroar,0,,23
pickleshare,1433,4,286.6,pickleshare,0,,62
numpy-base,1707,5,284.5,numpy,0,1838,30599
loguru,852,2,284.0,Delgan,0,60,22657
libgfortran4,283,0,283.0,,0,,
pcre,1409,4,281.8,,0,,
tk,3356,11,279.7,,0,,
fribidi,279,0,279.0,fribidi,0,40,395
cycler,1656,5,276.0,matplotlib,0,18,76
pthread-stubs,551,1,275.5,,0,,
parso,1364,4,272.8,davidhalter,0,48,659
asn1crypto,544,1,272.0,wbond,0,39,354
opencv,543,1,271.5,opencv,0,2014,84584
pywin32,269,0,269.0,mhammond,0,97,5438
dbus,1035,3,258.8,dbus,0,,30
sqlite,3586,13,256.1,,0,,
munkres,510,1,255.0,bmc,0,12,229
freetype,2276,8,252.9,freetype,0,210,43
intel-openmp,2759,10,250.8,,0,,
wcwidth,1498,5,249.7,jquast,0,20,422
tzdata,984,3,246.0,eggert,0,36,1681
mkl_fft,1717,6,245.3,IntelPython,0,9,70
ipyleaflet,244,0,244.0,jupyter-widgets,0,99,1531
typed-ast,242,0,242.0,python,0,29,232
libgomp,946,3,236.5,,0,,
libxcb,1182,4,236.4,xorg,0,,14
nb_conda_kernels,234,0,234.0,anaconda,0,21,633
jupyter_console,700,2,233.3,jupyter,0,61,266
keras-applications,232,0,232.0,keras-team,0,,2003
