name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
github.com/jellevandenhooff/dkim,8855,3,2213.8,jellevandenhooff,0,,9
github.com/jmespath/go-jmespath/internal/testify,41730,22,1814.3,jmespath,0,15,608
github.com/jackc/pgproto3,17816,15,1113.5,jackc,0,13,168
github.com/gobuffalo/gitgen,17317,16,1018.6,gobuffalo,0,,1
github.com/d2g/hardwareaddr,12492,14,832.8,d2g,0,,0
github.com/d2g/dhcp4server,12691,17,705.1,d2g,0,,7
dmitri.shuralyov.com/gpu/mtl,102955,154,664.2,,0,,
github.com/huin/goutil,7241,10,658.3,huin,0,,2
gopkg.in/errgo.v2,141521,220,640.4,go-errgo,0,,53
github.com/go-toolsmith/astinfo,8270,12,636.2,go-toolsmith,0,,2
github.com/bradfitz/go-smtpd,8887,13,634.8,bradfitz,0,,214
dmitri.shuralyov.com/html/belt,6525,10,593.2,,0,,
github.com/hashicorp/go.net,58111,97,593.0,hashicorp,0,28,18
github.com/shurcooL/httperror,6512,10,592.0,shurcooL,0,2,1
github.com/shurcooL/users,6512,10,592.0,shurcooL,0,2,2
github.com/shurcooL/component,6520,11,543.3,shurcooL,0,2,0
github.com/shurcooL/gopherjslib,6513,11,542.8,shurcooL-deprecated,0,,3
rsc.io/binaryregexp,102090,199,510.5,rsc,0,,48
github.com/jackc/chunkreader,17814,34,509.0,jackc,0,,14
github.com/joefitzgerald/rainbow-reporter,10417,20,496.0,joefitzgerald,0,,4
github.com/shurcooL/events,6512,15,407.0,shurcooL,0,2,7
github.com/mozilla/tls-observatory,10198,25,392.2,mozilla,0,43,540
rsc.io/pdf,28789,73,389.0,rsc,0,,508
dmitri.shuralyov.com/state,6525,16,383.8,,0,,
github.com/dsnet/golib,5649,14,376.6,dsnet,0,,26
github.com/gobuffalo/depgen,17040,45,370.4,gobuffalo,0,,1
github.com/quasilyte/go-ruleguard/rules,5771,16,339.5,quasilyte,0,31,852
cloud.google.com/go/recaptchaenterprise,5048,14,336.5,googleapis,0,431,4386
cloud.google.com/go/dataflow,5213,16,306.6,googleapis,0,462,3761
cloud.google.com/go/datastream,5211,16,306.5,googleapis,0,434,3706
cloud.google.com/go/lifesciences,5203,16,306.1,googleapis,0,431,4385
cloud.google.com/go/area120,5203,16,306.1,googleapis,0,431,4386
cloud.google.com/go/privatecatalog,5203,16,306.1,googleapis,0,431,4386
cloud.google.com/go/networksecurity,5203,16,306.1,googleapis,0,431,4382
cloud.google.com/go/recommendationengine,5203,16,306.1,googleapis,0,431,4386
cloud.google.com/go/gkeconnect,5203,16,306.1,googleapis,0,434,3706
cloud.google.com/go/dataqna,5203,16,306.1,googleapis,0,431,4385
cloud.google.com/go/phishingprotection,5203,16,306.1,googleapis,0,431,4385
cloud.google.com/go/datalabeling,5203,16,306.1,googleapis,0,462,3761
cloud.google.com/go/mediatranslation,5203,16,306.1,googleapis,0,431,4385
cloud.google.com/go/webrisk,5203,16,306.1,googleapis,0,431,4386
cloud.google.com/go/assuredworkloads,5203,16,306.1,googleapis,0,434,3706
cloud.google.com/go/metastore,5202,16,306.0,googleapis,0,431,4386
cloud.google.com/go/analytics,5202,16,306.0,googleapis,0,431,4386
cloud.google.com/go/dataform,5200,16,305.9,googleapis,0,431,4386
cloud.google.com/go/edgecontainer,5200,16,305.9,googleapis,0,431,4386
cloud.google.com/go/gaming,5200,16,305.9,googleapis,0,434,3706
github.com/letsencrypt/pkcs11key/v4,5589,18,294.2,letsencrypt,0,,83
cloud.google.com/go/memcache,5203,17,289.1,googleapis,0,431,4382
cloud.google.com/go/networkconnectivity,5203,17,289.1,googleapis,0,431,4369
github.com/performancecopilot/speed,19912,68,288.6,performancecopilot,0,,36
github.com/quasilyte/go-consistent,8281,28,285.6,quasilyte,0,,316
github.com/google/renameio,120047,436,274.7,google,0,9,659
cloud.google.com/go/notebooks,5203,18,273.8,googleapis,0,462,3761
github.com/mitchellh/osext,13478,50,264.3,mitchellh,0,,4
github.com/cockroachdb/datadriven,42706,161,263.6,cockroachdb,0,16,62
cloud.google.com/go/automl,5261,19,263.1,googleapis,0,431,4386
cloud.google.com/go/videointelligence,5214,19,260.7,googleapis,0,431,4386
cloud.google.com/go/talent,5213,19,260.7,googleapis,0,431,4386
cloud.google.com/go/gkehub,5204,19,260.2,googleapis,0,394,3541
github.com/lightstep/lightstep-tracer-common/golang/gogo,20275,77,259.9,lightstep,0,,3
cloud.google.com/go/binaryauthorization,5225,20,248.8,googleapis,0,462,3761
cloud.google.com/go/workflows,5228,21,237.6,googleapis,0,431,4386
rsc.io/quote/v3,85240,358,237.4,rsc,0,1,108
cloud.google.com/go/recommender,5206,21,236.6,googleapis,0,462,3761
cloud.google.com/go/oslogin,5205,21,236.6,googleapis,0,431,4386
cloud.google.com/go/retail,5205,21,236.6,googleapis,0,431,4386
cloud.google.com/go/documentai,5204,21,236.5,googleapis,0,431,4385
cloud.google.com/go/recaptchaenterprise/v2,5203,21,236.5,googleapis,0,431,4386
github.com/jackc/pgmock,17819,77,228.4,jackc,0,,126
grpc.go4.org,8885,38,227.8,go4org,0,,12
github.com/google/cel-spec,6622,29,220.7,google,0,37,3436
github.com/checkpoint-restore/go-criu/v4,12797,57,220.6,checkpoint-restore,0,17,202
github.com/BurntSushi/xgb,109272,498,219.0,BurntSushi,0,,508
cloud.google.com/go/servicedirectory,5212,23,217.2,googleapis,0,394,3574
github.com/ianlancetaylor/demangle,90975,424,214.1,ianlancetaylor,0,8,177
github.com/influxdata/promql/v2,5546,25,213.3,influxdata,0,,11
github.com/google/martian/v3,75284,360,208.5,google,0,45,2034
cloud.google.com/go/domains,5225,26,193.5,googleapis,0,431,4386
cloud.google.com/go/language,5218,26,193.3,googleapis,0,431,4386
cloud.google.com/go/billing,5229,27,186.8,googleapis,0,394,3541
rsc.io/sampler,86657,473,182.8,rsc,0,,9
google.golang.org/cloud,15113,82,182.1,googleapis,0,434,3706
github.com/gobuffalo/mapi,17618,97,179.8,gobuffalo,0,,1
github.com/hashicorp/consul/sdk,66830,373,178.7,hashicorp,0,1013,29462
cloud.google.com/go/scheduler,5225,29,174.2,googleapis,0,431,4386
github.com/go-gl/glfw,99315,584,169.8,go-gl,0,44,1630
cloud.google.com/go/securitycenter,5236,30,168.9,googleapis,0,431,4386
modernc.org/cc,10540,62,167.3,cznic,0,,22
github.com/hashicorp/go-syslog,68574,418,163.7,hashicorp,0,9,67
github.com/streadway/handy,20493,125,162.6,streadway,0,,347
cloud.google.com/go/redis,5245,32,158.9,googleapis,0,431,4386
cloud.google.com/go/vision/v2,5233,32,158.6,googleapis,0,431,4386
cloud.google.com/go/dialogflow,5216,32,158.1,googleapis,0,431,4386
github.com/Azure/go-autorest/autorest/mocks,46957,298,157.0,Azure,0,78,217
github.com/influxdata/roaring,5549,36,150.0,influxdata,0,,0
github.com/bketelsen/crypt,47290,318,148.2,bketelsen,0,,49
github.com/gobuffalo/attrs,17379,117,147.3,gobuffalo,0,,2
modernc.org/xc,10548,74,140.6,cznic,0,,0
github.com/pact-foundation/pact-go,19894,141,140.1,pact-foundation,0,70,929
cloud.google.com/go/artifactregistry,5232,39,130.8,googleapis,0,431,4386
