name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
hspec-wai-json,368,0,368.0,hspec,1,11,66
tasty-hspec,349,0,349.0,mitchellwrosen,3,11,15
happy,334,0,334.0,,6,,
hjsmin,918,2,306.0,erikd,3,,28
doctest,1354,4,270.8,sol,7,44,387
graphs,262,0,262.0,ekmett,2,5,39
mongoDB,518,1,259.0,mongodb-haskell,5,46,172
data-default-instances-containers,231,0,231.0,,1,,
data-default-instances-old-locale,228,0,228.0,,1,,
data-default-instances-dlist,228,0,228.0,,1,,
persistent-mysql,211,0,211.0,,7,,
Spock,208,0,208.0,,2,,
openapi-petstore,201,0,201.0,,1,,
bson,390,1,195.0,mongodb-haskell,5,,18
language-c,190,0,190.0,visq,4,,87
alex,190,0,190.0,,3,,
HandsomeSoup,186,0,186.0,egonSchiele,1,,123
reload,179,0,179.0,JPMoresmau,1,,18
gd,175,0,175.0,,2,,
indents,171,0,171.0,jaspervdj,2,2,20
yesod-test,840,4,168.0,,5,,
language-java,162,0,162.0,vincenthz,2,,67
HCodecs,161,0,161.0,,3,,
dimensional,158,0,158.0,bjornbm,3,12,112
quickcheck-unicode,156,0,156.0,bos,1,,4
fay,156,0,156.0,faylang,3,,1283
hdaemonize,156,0,156.0,unprolix,4,,1
yesod-auth-hashdb,155,0,155.0,paul-rouse,1,,11
c2hs,155,0,155.0,haskell,3,59,207
yesod-websockets,154,0,154.0,yesodweb,2,301,2636
derive,462,2,154.0,ndmitchell,5,,25
bits,154,0,154.0,ekmett,3,,15
repa-io,153,0,153.0,,6,,
repa-algorithms,153,0,153.0,,6,,
GLURaw,153,0,153.0,,2,,
test-framework,2133,13,152.4,haskell,5,45,25
time-lens,152,0,152.0,UnkindPartition,1,,8
quickcheck-assertions,152,0,152.0,s9gf4ult,1,,2
union-find,150,0,150.0,nominolo,1,,30
hxt-charproperties,150,0,150.0,UweSchmidt,1,,124
containers-unicode-symbols,150,0,150.0,,1,,
language-ecmascript,150,0,150.0,jswebtools,3,,46
groundhog,150,0,150.0,lykahb,1,,176
language-glsl,150,0,150.0,,1,,
hxt-regex-xmlschema,150,0,150.0,,1,,
acid-state,299,1,149.5,acid-state,6,43,303
monad-journal,149,0,149.0,hadronized,1,,6
mime-mail-ses,149,0,149.0,snoyberg,3,34,41
test-framework-hunit,1776,11,148.0,batterseapower,4,,83
gravatar,148,0,148.0,pbrisbin,2,,13
traverse-with-class,148,0,148.0,,3,,
fb,148,0,148.0,psibi,2,,18
hspec-discover,591,3,147.8,,3,,
json-schema,147,0,147.0,,3,,
generic-aeson,147,0,147.0,,3,,
hxt-http,147,0,147.0,UweSchmidt,1,,124
wai-eventsource,147,0,147.0,,2,,
control-monad-free,147,0,147.0,pepeiborra,2,,7
ChasingBottoms,147,0,147.0,,2,,
hspec-wai,439,2,146.3,hspec,2,11,65
stringbuilder,145,0,145.0,,1,,
rest-core,145,0,145.0,,2,,
data-accessor-mtl,145,0,145.0,,1,,
nsis,144,0,144.0,ndmitchell,1,,26
shell-conduit,144,0,144.0,psibi,2,,96
missing-foreign,144,0,144.0,,1,,
groundhog-postgresql,144,0,144.0,,1,,
yesod-sitemap,143,0,143.0,,2,,
siphash,143,0,143.0,vincenthz,1,,9
numeric-extras,143,0,143.0,ekmett,2,,6
hlibgit2,143,0,143.0,,2,,
data-inttrie,143,0,143.0,luqui,2,,10
hs-bibutils,143,0,143.0,wilx,2,,2
action-permutations,143,0,143.0,,1,,
io-memoize,143,0,143.0,DanBurton,1,,9
ace,142,0,142.0,,1,,
yesod-eventsource,142,0,142.0,,3,,
testing-feat,142,0,142.0,size-based,2,,1
crypto-cipher-tests,142,0,142.0,vincenthz,1,,22
iterable,142,0,142.0,BioHaskell,1,,4
monadcryptorandom,142,0,142.0,TomMD,1,9,1
fixed,142,0,142.0,ekmett,1,,5
imagesize-conduit,142,0,142.0,silkapp,4,,4
yesod-static,992,6,141.7,,3,,
groundhog-th,141,0,141.0,,1,,
nanospec,141,0,141.0,hspec,1,,6
repa-devil,141,0,141.0,RaphaelJ,3,,6
hweblib,141,0,141.0,aycanirican,1,,15
semigroupoid-extras,141,0,141.0,ekmett,1,,5
lca,141,0,141.0,ekmett,2,,24
graph-core,141,0,141.0,factisresearch,3,,9
djinn-lib,141,0,141.0,,1,,
hspec-meta,141,0,141.0,,3,,
yesod-bin,141,0,141.0,,5,,
rev-state,141,0,141.0,DanBurton,1,2,8
wai-handler-launch,281,1,140.5,,2,,
hebrew-time,140,0,140.0,snoyberg,1,,2
prefix-units,140,0,140.0,iustin,1,,3
binary-list,140,0,140.0,,1,,
fuzzcheck,140,0,140.0,fpco,1,,8
tagshare,140,0,140.0,,1,,
rest-gen,140,0,140.0,,2,,
tls-debug,140,0,140.0,haskell-tls,3,56,403
cipher-camellia,140,0,140.0,vincenthz,1,,22
QuasiText,140,0,140.0,mikeplus64,1,,3
monad-products,140,0,140.0,ekmett,1,,5
hostname-validate,140,0,140.0,,1,,
runmemo,140,0,140.0,DanBurton,1,,9
fay-text,140,0,140.0,faylang,1,,5
eq,140,0,140.0,ekmett,3,8,13
monadic-arrays,140,0,140.0,ekmett,1,,5
FenwickTree,140,0,140.0,mgajda,1,,2
yesod-fay,139,0,139.0,fpco,3,,24
yesod-gitrepo,139,0,139.0,snoyberg,1,,5
snap-loader-static,139,0,139.0,,2,,
rest-wai,139,0,139.0,,3,,
frisby,139,0,139.0,,2,,
DRBG,139,0,139.0,,1,,
check-email,139,0,139.0,qoelet,2,,1
libnotify,139,0,139.0,,1,,
Octree,139,0,139.0,BioHaskell,1,,20
hakyll,833,5,138.8,,2,,
language-haskell-extract,138,0,138.0,finnsson,1,4,7
mandrill,138,0,138.0,,2,,
stm-stats,138,0,138.0,,1,,
fay-base,138,0,138.0,faylang,3,,1283
pdfinfo,138,0,138.0,chrisdone-archive,1,,4
groundhog-sqlite,138,0,138.0,,1,,
phantom-state,138,0,138.0,,1,,
rest-types,138,0,138.0,,2,,
kdt,138,0,138.0,giogadi,1,,24
libgit,138,0,138.0,vincenthz,1,,17
control-monad-loop,138,0,138.0,joeyadams,1,,8
djinn-ghc,137,0,137.0,,1,,
zlib-lens,137,0,137.0,,2,,
hse-cpp,136,0,136.0,,4,,
aeson-utils,136,0,136.0,,2,,
linear-accelerate,136,0,136.0,tmcdonell,3,,1
shake-language-c,136,0,136.0,samplecount,1,,28
haskell-packages,136,0,136.0,,5,,
rest-happstack,136,0,136.0,,2,,
elm-core-sources,136,0,136.0,JoeyEremondi,1,,7
xenstore,135,0,135.0,,1,,
code-builder,135,0,135.0,,2,,
arrow-list,135,0,135.0,silkapp,3,,11
pure-io,135,0,135.0,,1,,
