name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
phoenix_live_reload,17487,7,2185.9,phoenixframework,2,53,315
unicode_util_compat,4828,3,1207.0,benoitc,1,4,10
metrics,6548,5,1091.3,benoitc,1,,70
mimerl,7317,7,914.6,benoitc,1,,28
idna,8835,16,519.7,benoitc,1,,43
cowlib,14134,38,362.4,ninenines,3,28,281
ssl_verify_fun,6748,21,306.7,deadtrickster,1,12,105
inch_ex,1557,5,259.5,rrrene,1,,211
ranch,14290,57,246.4,ninenines,3,46,1176
artificery,408,1,204.0,bitwalker,1,,129
mime,10463,55,186.8,elixir-plug,3,33,94
db_connection,8759,46,186.4,elixir-ecto,3,44,305
excoveralls,4260,23,177.5,parroty,1,107,826
bunt,2789,15,174.3,rrrene,1,6,115
erlex,346,1,173.0,christhekeele,2,,7
mix_test_watch,1830,10,166.4,lpil,1,38,895
plug_crypto,4714,28,162.6,elixir-plug,3,20,89
phoenix_ecto,17190,109,156.3,phoenixframework,3,64,481
ssl_verify_hostname,622,3,155.5,deadtrickster,1,15,107
spandex_datadog,155,0,155.0,spandex-project,2,19,61
benchee_csv,152,0,152.0,bencheeorg,2,4,10
combine,1818,11,151.5,bitwalker,1,15,197
certifi,7571,49,151.4,certifi,1,12,132
spandex_phoenix,151,0,151.0,spandex-project,2,18,83
spandex_ecto,150,0,150.0,spandex-project,2,12,32
que,149,0,149.0,sheharyarn,1,4,680
parse_trans,3410,22,148.3,uwiger,1,32,231
file_system,6020,41,143.3,falood,1,32,267
dialyxir,5712,40,139.3,jeremyjh,1,88,1706
phx_gen_auth,138,0,138.0,aaronrenner,1,,776
makeup_elixir,2561,18,134.8,elixir-makeup,2,,33
coverex,125,0,125.0,alfert,1,,102
connection,9518,77,122.0,elixir-ecto,3,14,264
phoenix_pubsub,11073,97,113.0,phoenixframework,2,56,650
ex_unit_notifier,110,0,110.0,navinpeiris,1,,133
exvcr,541,4,108.2,parroty,1,76,727
cors_plug,1480,13,105.7,mschae,1,37,404
gettext,18434,181,101.3,elixir-gettext,2,62,469
