name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
com.facebook.react:hermes-android,7686,0,7686.0,facebook,0,3812,124273
com.facebook.react:react-android,7692,1,3846.0,facebook,0,3812,124273
com.firebaseui:firebase-ui-database,3014,1,1507.0,firebase,0,109,4749
org.kordamp.bootstrapfx:bootstrapfx-core,1179,0,1179.0,kordamp,0,,1024
org.thymeleaf.extras:thymeleaf-extras-springsecurity6,3691,3,922.8,thymeleaf,0,46,2920
io.github.jhipster:jhipster-dependencies,6180,7,772.5,jhipster,0,,412
com.firebaseui:firebase-ui-auth,3063,3,765.8,firebase,0,109,4749
io.github.jhipster:jhipster-framework,6030,7,753.8,jhipster,0,,412
com.jjoe64:graphview,1192,1,596.0,jjoe64,0,,2775
com.firebaseui:firebase-ui-firestore,1113,1,556.5,firebase,0,109,4749
com.jakewharton:butterknife,55438,105,523.0,JakeWharton,0,110,25472
org.springframework.boot:spring-boot-antlib,1425,2,475.0,spring-projects,0,1434,77864
com.vimalselvam:cucumber-extentsreport,2217,4,443.4,email2vimalraj,0,,58
tech.jhipster:jhipster-framework,1687,3,421.8,jhipster,0,86,81
com.mikhaellopez:circularimageview,1127,2,375.7,lopspower,0,,1961
tech.jhipster:jhipster-dependencies,1670,4,334.0,jhipster,0,86,81
org.springframework.boot:spring-boot-starter-thymeleaf,189675,606,312.5,spring-projects,0,1434,78828
org.springframework.roo:org.springframework.roo.annotations,2169,6,309.9,spring-attic,0,,693
com.firebaseui:firebase-ui-storage,1220,3,305.0,firebase,0,109,4749
de.hdodenhof:circleimageview,16299,53,301.8,hdodenhof,0,15,14536
com.relevantcodes:extentreports,8310,27,296.8,anshooarora,0,,528
com.github.miemiedev:mybatis-paginator,3226,10,293.3,lidatui,0,,368
com.facebook.fresco:animated-webp,3591,12,276.2,facebook,0,521,17145
org.scala-sbt:test-agent,2192,7,274.0,sbt,0,432,4870
jstl:jstl,60003,219,272.7,,0,,
org.bgee.log4jdbc-log4j2:log4jdbc-log4j2-jdbc4,2716,9,271.6,,0,,
org.springframework.boot:spring-boot-starter-data-jpa,461663,1710,269.8,spring-projects,0,1434,78768
com.github.clans:fab,1062,3,265.5,Clans,0,,5235
com.tngtech.archunit:archunit-junit5-engine,6799,25,261.5,TNG,0,90,3514
org.thymeleaf.extras:thymeleaf-extras-springsecurity5,21661,82,261.0,thymeleaf,0,46,2920
com.facebook.fresco:webpsupport,3623,13,258.8,facebook,0,521,17145
org.springframework.cloud:spring-cloud-starter-netflix-eureka-server,26010,104,247.7,spring-cloud,0,264,4936
com.facebook.fresco:imagepipeline-okhttp3,5428,21,246.7,facebook,0,521,17145
com.intuit.ssp:ssp-android,1718,6,245.4,intuit,0,,568
org.webjars:stomp-websocket,4047,16,238.1,webjars,0,,0
com.melnykov:floatingactionbutton,1413,5,235.5,makovkastar,0,,4018
com.tngtech.archunit:archunit-junit5-api,6806,28,234.7,TNG,0,90,3514
com.github.theborakompanioni:thymeleaf-extras-shiro,3517,14,234.5,theborakompanioni,0,10,303
org.springframework.boot:spring-boot-devtools,265491,1155,229.7,spring-projects,0,1434,78146
org.zalando:problem-spring-web,11023,48,225.0,zalando,0,,1056
com.getbase:floatingactionbutton,1347,5,224.5,zendesk,0,,6375
org.mule.connectors:mule-sockets-connector,3137,13,224.1,mulesoft,0,,1
com.wdullaer:materialdatetimepicker,1096,4,219.2,wdullaer,0,,4660
com.facebook.fresco:animated-gif,4780,21,217.3,facebook,0,521,17145
org.apache.tiles:tiles-jsp,13024,63,203.5,,0,,
org.webjars:sockjs-client,4021,19,201.1,webjars,0,,0
org.springframework.boot:spring-boot-starter-data-rest,45181,225,199.9,spring-projects,0,1434,78581
org.springframework.security:spring-security-test,111243,600,185.1,spring-projects,0,898,9327
com.mysql:mysql-connector-j,58256,324,179.2,mysql,0,26,976
org.springframework.cloud:spring-cloud-starter-hystrix-dashboard,2312,12,177.8,spring-cloud,0,264,4936
org.mule.connectors:mule-http-connector,3327,18,175.1,mulesoft,0,,1
com.aventstack:extentreports,13850,79,173.1,extent-framework,0,10,234
net.oschina.zcx7878:fastdfs-client-java,1202,6,171.7,,0,,
org.grails.plugins:geb,1364,7,170.5,grails,0,,6
com.google.dagger:hilt-android,18825,112,166.6,google,0,158,17640
io.github.jhipster:jhipster,1315,7,164.4,jhipster,0,,412
org.webjars:angular-ui-router,2193,13,156.6,webjars,0,,1
uk.co.chrisjenx:calligraphy,1406,8,156.2,chrisjenx,0,,8570
net.serenity-bdd:serenity-cucumber,1234,7,154.3,serenity-bdd,0,,739
org.springframework.boot:spring-boot-starter-cloud-connectors,10742,69,153.5,spring-projects,0,1434,78146
com.facebook.fresco:fresco,11318,76,147.0,facebook,0,521,17145
org.springframework.boot:spring-boot-starter-data-jdbc,17833,122,145.0,spring-projects,0,1434,78768
org.springframework.boot:spring-boot-starter-web-services,15169,104,144.5,spring-projects,0,1434,78768
com.google.appengine:appengine-endpoints,1005,6,143.6,,0,,
org.springframework.security:spring-security-data,14735,102,143.1,spring-projects,0,898,9327
org.webjars:atmosphere-javascript,1562,10,142.0,webjars,0,,0
io.projectreactor:reactor-stream,1550,10,140.9,reactor,0,27,3668
com.badlogicgames.gdx:gdx-box2d,4439,31,138.7,libgdx,0,,21250
com.intuit.sdp:sdp-android,3201,23,133.4,intuit,0,,2306
fr.ippon.spark.metrics:metrics-spark-reporter,1057,7,132.1,ippontech,0,,28
org.springframework.cloud:spring-cloud-starter-eureka-server,4180,31,130.6,spring-cloud,0,264,4936
com.facebook.react:react-native,2933,22,127.5,facebook,0,3812,124273
pub.devrel:easypermissions,1903,14,126.9,googlesamples,0,,9886
com.badlogicgames.gdx:gdx-backend-robovm,2028,15,126.8,libgdx,0,685,24371
org.springframework.boot:spring-boot-starter-security,204446,1615,126.5,spring-projects,0,1434,78768
org.modelmapper:modelmapper,26257,207,126.2,modelmapper,0,61,2343
org.apache.tiles:tiles-core,7904,62,125.5,,0,,
org.tensorflow:tensorflow-lite-gpu,1629,12,125.3,tensorflow,0,4341,192241
org.springframework.boot:spring-boot-starter-tomcat,66517,532,124.8,spring-projects,0,1434,79064
org.springframework.social:spring-social-facebook,3714,29,123.8,,0,,
org.springframework.cloud:spring-cloud-starter-zuul,6927,55,123.7,spring-cloud,0,264,4936
com.badlogicgames.gdx:gdx-backend-android,4609,37,121.3,libgdx,0,685,24371
org.springframework.security:spring-security-taglibs,30988,255,121.0,spring-projects,0,898,9320
com.squareup.picasso:picasso,29705,245,120.8,square,0,138,18983
org.bgee.log4jdbc-log4j2:log4jdbc-log4j2-jdbc4.1,2289,18,120.5,,0,,
com.nineoldandroids:library,20544,170,120.1,JakeWharton,0,,4479
com.badlogicgames.gdx:gdx-tools,1799,14,119.9,libgdx,0,685,24436
io.qameta.allure:allure-testng,3803,31,118.8,allure-framework,0,83,367
org.springframework.cloud:spring-cloud-starter-netflix-zuul,12080,101,118.4,spring-cloud,0,264,4936
org.thymeleaf.extras:thymeleaf-extras-springsecurity4,3660,30,118.1,thymeleaf,0,,487
org.springframework:springloaded,2224,18,117.1,spring-projects,0,,2723
org.mybatis.spring.boot:mybatis-spring-boot-starter-test,2425,20,115.5,mybatis,0,35,4219
com.github.gavlyukovskiy:p6spy-spring-boot-starter,1492,12,114.8,gavlyukovskiy,0,12,1001
org.springframework.cloud:spring-cloud-starter-netflix-eureka-client,33639,295,113.6,spring-cloud,0,264,4936
org.apache.tiles:tiles-extras,2373,20,113.0,,0,,
org.webjars:bootstrap,39622,350,112.9,webjars,0,,45
org.springframework.webflow:spring-js-resources,1094,9,109.4,spring-projects,0,37,334
com.rengwuxian.materialedittext:library,1301,11,108.4,rengwuxian,0,,6100
org.scala-sbt.ivy:ivy,1062,9,106.2,sbt,0,,7
org.springframework.boot:spring-boot-starter-data-mongodb,42553,402,105.6,spring-projects,0,1434,78146
com.google.api-client:google-api-client-android,1056,9,105.6,googleapis,0,92,1420
com.twilio.sdk:twilio,2742,25,105.5,twilio,0,146,508
org.mybatis:mybatis-spring,71090,688,103.2,mybatis,0,55,2891
me.dm7.barcodescanner:zxing,1342,12,103.2,dm77,0,,5450
com.nulab-inc:zxcvbn,1123,10,102.1,nulab,0,,269
net.serenity-bdd:serenity-rest-assured,1205,11,100.4,serenity-bdd,0,,739
