name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
coverlet.collector,70899,58,1201.7,coverlet-coverage,4,103,2892
microsoft.visualstudio.debugger.contracts,2402,1,1201.0,,2,,
microsoft.aspnet.web.optimization.ru,2342,1,1171.0,,2,,
microsoft.aspnet.web.optimization.fr,1070,0,1070.0,,2,,
entityframework.es,1753,1,876.5,,2,,
microsoft.aspnet.web.optimization.webforms,8358,11,696.5,,2,,
microsoft.aspnet.friendlyurls.core.es,685,0,685.0,,2,,
sourcelink.fake,624,0,624.0,ctaggart,1,,356
microsoft.aspnet.web.optimization.zh-hant,1245,1,622.5,,2,,
microsoft.aspnet.web.optimization.pt-br,1235,1,617.5,,2,,
microsoft.applicationinsights.agent.intercept,17857,28,615.8,,2,,
popper.js,14456,26,535.4,,1,,
microsoft.aspnet.providers.core,13794,26,510.9,,2,,
entityframework.ru,1926,3,481.5,,2,,
xunit.runner.visualstudio,80985,181,445.0,xunit,1,31,163
microsoft.aspnet.telemetrycorrelation,9865,22,428.9,,2,,
microsoft.applicationinsights.javascript,6430,16,378.2,,0,,
microsoft.aspnetcore.blazor.devserver,554,1,277.0,dotnet,0,1479,36868
bootstrap,140376,513,273.1,,2,,
coverlet.msbuild,4469,16,262.9,coverlet-coverage,4,103,2892
entityframework.zh-hant,1027,3,256.8,,2,,
rotativa,506,1,253.0,webgio,1,10,630
glimpse.ef6,590,2,196.7,,2,,
microsoft.aspnet.web.optimization,101972,622,163.7,,2,,
microsoft.codeanalysis.versioncheckanalyzer,979,5,163.2,dotnet,2,275,1526
xunit.runners,740,4,148.0,xunit,1,143,4164
microsoft.applicationinsights.runtimetelemetry,517,3,129.3,,0,,
unity.mvc5,808,6,115.4,devtrends,1,,53
xunit.analyzers,6056,55,108.1,xunit,1,,195
bootbox,881,8,97.9,,2,,
owin,80886,829,97.5,owin-contrib,1,,42
xunit.runner.console,2525,25,97.1,xunit,1,143,4510
xunit.extensions,4153,43,94.4,xunit,2,143,3915
xunit,91829,1053,87.1,xunit,1,143,4510
cef.redist.x86,1690,19,84.5,cefsharp,3,22,108
knockoutjs,18658,221,84.0,,2,,
xunit.core,16453,199,82.3,xunit,1,143,4510
cef.redist.x64,1694,20,80.7,cefsharp,3,22,108
jquery.datatables,2175,27,77.7,,2,,
microsoft.aspnet.membership.openauth,1601,20,76.2,,2,,
xunit.assert,16499,219,75.0,xunit,1,143,4510
xunit.skippablefact,1053,15,65.8,AArnott,1,14,144
mahapps.metro.resources,767,11,63.9,MahApps,2,,18
bodi,1007,16,59.2,SpecFlowOSS,3,16,32
nunit.extension.nunitprojectloader,1170,19,58.5,,3,,
jquery.mobile,830,14,55.3,,2,,
should,1398,25,53.8,,1,,
vssdk.ide,588,10,53.5,,1,,
pomelo.jsonobject,1060,19,53.0,PomeloFoundation,4,,7
microsoft.sqlserver.compact,4394,83,52.3,,2,,
unity.webapi,1131,21,51.4,devtrends,1,,46
lightinject.mvc,501,9,50.1,,1,,
