name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
facade/flare-client-php,206438,6,29491.1,facade,1,14,514
theseer/tokenizer,453841,15,28365.1,theseer,1,8,5119
graham-campbell/result-type,145825,5,24304.2,GrahamCampbell,1,3,465
sebastian/code-unit-reverse-lookup,493265,24,19730.6,sebastianbergmann,1,4,6653
sebastian/resource-operations,489045,24,19561.8,sebastianbergmann,1,5,6260
phar-io/manifest,453682,26,16803.0,phar-io,2,11,7397
sebastian/object-reflector,453779,28,15647.6,sebastianbergmann,1,5,6224
dnoegel/php-xdg-base-dir,303084,19,15154.2,dnoegel,2,,6348
phpdocumentor/reflection-common,486971,34,13913.5,phpDocumentor,1,15,9041
jakub-onderka/php-console-color,231875,21,10539.8,JakubOnderka,1,,6190
symfony/polyfill-intl-grapheme,230953,21,10497.9,symfony,1,23,1577
phar-io/version,453713,44,10082.5,phar-io,2,13,7386
sebastian/type,317900,32,9633.3,sebastianbergmann,1,9,1364
sebastian/global-state,555200,57,9572.4,sebastianbergmann,1,13,6499
sebastian/complexity,182549,19,9127.5,sebastianbergmann,1,3,1058
sebastian/recursion-context,557860,61,8997.7,sebastianbergmann,1,10,6472
league/flysystem-local,51007,5,8501.2,thephpleague,1,,151
sebastian/object-enumerator,492623,57,8493.5,sebastianbergmann,1,9,6457
sebastian/lines-of-code,182549,21,8297.7,sebastianbergmann,1,2,1059
symfony/polyfill-intl-normalizer,260550,37,6856.6,symfony,1,17,1909
sebastian/code-unit,184589,26,6836.6,sebastianbergmann,1,5,999
spatie/flare-client-php,51490,7,6436.3,spatie,1,13,148
phpunit/php-text-template,569397,93,6057.4,sebastianbergmann,1,6,7353
sebastian/environment,561038,92,6032.7,sebastianbergmann,1,22,6665
phpunit/php-file-iterator,569571,94,5995.5,sebastianbergmann,1,18,7409
league/config,100620,16,5918.8,thephpleague,1,9,476
asm89/stack-cors,161483,29,5382.8,asm89,2,21,1273
symfony/polyfill-php72,419099,85,4873.2,symfony,1,18,4784
symfony/polyfill-intl-idn,396264,83,4717.4,symfony,1,,3233
sebastian/cli-parser,182557,38,4680.9,sebastianbergmann,1,2,1006
sebastian/exporter,563391,129,4333.8,sebastianbergmann,1,21,6713
symfony/polyfill-ctype,463460,108,4251.9,symfony,1,11,4009
phpdocumentor/type-resolver,487046,116,4162.8,phpDocumentor,2,44,9152
symfony/polyfill-iconv,298517,75,3927.9,symfony,1,20,1769
doctrine/lexer,507297,129,3902.3,doctrine,1,28,11077
hamcrest/hamcrest-php,439561,115,3789.3,hamcrest,3,26,7066
phpunit/php-timer,569668,169,3351.0,sebastianbergmann,1,13,7544
ramsey/collection,203669,61,3285.0,ramsey,1,28,1124
