name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
sky_engine,228951,2,76317.0,,0,,
boolean_selector,231744,9,23174.4,dart-lang,0,218,81
path_provider_macos,50091,4,10018.2,flutter,0,631,17632
term_glyph,233558,24,9342.3,dart-lang,0,218,90
path_provider_linux,67118,7,8389.8,flutter,0,1019,4994
path_provider_ios,29390,3,7347.5,flutter,0,631,17632
url_launcher_macos,21482,3,5370.5,flutter,0,1019,4994
path_provider_windows,63882,11,5323.5,flutter,0,1019,4994
url_launcher_windows,19303,3,4825.8,flutter,0,1019,4994
material_color_utilities,105136,23,4380.7,material-foundation,0,5,1985
shared_preferences_windows,28060,6,4008.6,flutter,0,1019,4994
url_launcher_linux,19949,4,3989.8,flutter,0,1019,4994
xdg_directories,67777,17,3765.4,flutter,0,1019,4994
shared_preferences_linux,29170,7,3646.3,flutter,0,1019,4994
path_provider_android,33890,10,3080.9,flutter,0,1019,4994
shared_preferences_macos,29563,9,2956.3,flutter,0,631,17632
firebase_auth_web,24374,8,2708.2,firebase,0,576,9068
cached_network_image_web,8011,2,2670.3,Baseflow,0,42,2555
test_api,229289,94,2413.6,dart-lang,0,160,517
cloud_firestore_web,23203,9,2320.3,firebase,0,576,9065
geolocator_web,4449,1,2224.5,Baseflow,0,,1062
image_picker_linux,4327,1,2163.5,flutter,0,1019,4994
image_picker_macos,4327,1,2163.5,flutter,0,1019,4994
image_picker_android,8504,3,2126.0,flutter,0,1019,4994
image_picker_ios,8503,3,2125.8,flutter,0,1019,4994
path_provider_foundation,16877,7,2109.6,flutter,0,1019,4994
timing,18846,8,2094.0,dart-lang,0,218,90
string_scanner,234506,111,2093.8,dart-lang,0,218,81
permission_handler_apple,4145,1,2072.5,Baseflow,0,,1805
permission_handler_android,4145,1,2072.5,Baseflow,0,,1746
permission_handler_windows,4131,1,2065.5,Baseflow,0,,1746
shared_preferences_ios,16112,7,2014.0,flutter,0,631,17474
typed_data,200972,100,1989.8,dart-lang,0,,50
geolocator_windows,3968,1,1984.0,Baseflow,0,,1062
google_sign_in_ios,3941,1,1970.5,flutter,0,1019,4994
google_sign_in_android,3932,1,1966.0,flutter,0,1019,4994
url_launcher_android,12389,6,1769.9,flutter,0,1019,4994
frontend_server_client,20767,11,1730.6,dart-lang,0,59,222
path_provider_platform_interface,69164,40,1686.9,flutter,0,1019,4994
image_picker_windows,4929,2,1643.0,flutter,0,1019,4994
firebase_storage_platform_interface,6566,3,1641.5,firebase,0,576,9068
firebase_core_web,35748,21,1624.9,firebase,0,576,9068
firebase_storage_web,6481,3,1620.3,firebase,0,576,9065
shared_preferences_foundation,9642,5,1607.0,flutter,0,1019,4994
url_launcher_ios,12390,7,1548.8,flutter,0,1019,4994
shared_preferences_android,18559,11,1546.6,flutter,0,1019,4994
characters,184975,119,1541.5,dart-lang,0,,51
source_map_stack_trace,15086,9,1508.6,dart-lang,0,218,90
process,69961,47,1457.5,dart-lang,0,218,90
fake_async,185041,126,1457.0,dart-lang,0,160,517
charcode,188927,130,1442.2,lrhn,0,12,21
firebase_auth_platform_interface,24442,16,1437.8,firebase,0,576,9068
google_sign_in_web,9924,6,1417.7,flutter,0,1019,4994
clock,186823,131,1415.3,dart-lang,0,218,81
shared_preferences_platform_interface,32160,22,1398.3,flutter,0,1019,4994
package_info_plus_macos,2634,1,1317.0,fluttercommunity,0,274,1790
package_info_plus_linux,2631,1,1315.5,fluttercommunity,0,274,1790
package_info_plus_windows,2631,1,1315.5,fluttercommunity,0,274,1790
google_maps_flutter_android,2630,1,1315.0,flutter,0,1019,4994
google_maps_flutter_ios,2630,1,1315.0,flutter,0,1019,4994
source_span,235284,185,1265.0,dart-lang,0,218,81
shelf_packages_handler,14294,11,1191.2,dart-lang,0,63,970
flutter_keyboard_visibility_web,2371,1,1185.5,MisterJimson,0,,307
stream_channel,232884,197,1176.2,dart-lang,0,218,81
build_daemon,18779,15,1173.7,dart-lang,0,81,834
cloud_firestore_platform_interface,23175,19,1158.8,firebase,0,576,9068
wakelock_macos,2186,1,1093.0,creativecreatorormaybenot,0,17,423
shared_preferences_web,31997,29,1066.6,flutter,0,1019,4994
matcher,233696,221,1052.7,dart-lang,0,160,517
wakelock_windows,2102,1,1051.0,creativecreatorormaybenot,0,17,423
connectivity_plus_web,3001,2,1000.3,fluttercommunity,0,274,1790
connectivity_plus_macos,2996,2,998.7,fluttercommunity,0,274,1790
share_plus_windows,1996,1,998.0,fluttercommunity,0,274,1790
share_plus_linux,1996,1,998.0,fluttercommunity,0,274,1790
connectivity_plus_linux,2979,2,993.0,fluttercommunity,0,274,1790
share_plus_macos,1986,1,993.0,fluttercommunity,0,274,1790
connectivity_plus_windows,2974,2,991.3,fluttercommunity,0,274,1790
nested,44581,44,990.7,rrousselGit,0,,134
url_launcher_web,21745,21,988.4,flutter,0,1019,4994
image_picker_platform_interface,17760,17,986.7,flutter,0,1019,4994
firebase_database_web,1968,1,984.0,firebase,0,576,9065
firebase_analytics_web,2935,2,978.3,firebase,0,576,9068
flutter_blurhash,10697,10,972.5,fluttercommunity,0,,540
url_launcher_platform_interface,22016,24,880.6,flutter,0,1019,4994
package_info_plus_web,2639,2,879.7,fluttercommunity,0,274,1790
flutter_keyboard_visibility_macos,1749,1,874.5,MisterJimson,0,,307
path_parsing,21742,24,869.7,flutter,0,1019,4994
