name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
django-heroku,25742,0,25742.0,heroku,1,5,454
itypes,26233,5,4372.2,PavanTatikonda,2,,19
django-toolbelt,4051,0,4051.0,,1,,
wsgiref,52027,14,3468.5,,1,,
static3,8675,2,2891.7,rmohr,1,,30
coreschema,26209,10,2382.6,core-api,1,,15
django-rest-auth,11633,4,2326.6,Tivix,1,94,2420
dj-static,12610,5,2101.7,heroku-python,2,,509
python3-openid,37439,17,2079.9,necaris,1,46,46
blaze,2022,0,2022.0,blaze,7,,39
south,3550,1,1775.0,,1,,
visitor,12265,6,1752.1,mbr,1,,12
ssh-import-id,3000,1,1500.0,,5,,
defer,4419,2,1473.0,,1,,
louis,3830,2,1276.7,,1,,
simplegeneric,27061,21,1230.0,,1,,
oauth,2404,1,1202.0,,3,,
pycosat,8334,6,1190.6,conda,3,10,189
virtualenv-clone,13517,11,1126.4,edwardgeorge,3,19,210
bkcharts,5622,4,1124.4,bokeh,1,,23
static,2227,1,1113.5,lukearno,1,,57
django-dotenv,2155,1,1077.5,jpadilla,1,,573
python-openid,7436,6,1062.3,openid,2,,437
duplicity,2062,1,1031.0,duplicity,1,159,279
django-bootstrap4,21273,20,1013.0,zostera,2,142,1029
clyent,6047,5,1007.8,anaconda-graveyard,1,,2
pyfcm,3852,3,963.0,olucurious,1,41,817
djoser,2807,2,935.7,sunscrapers,2,104,2479
queuelib,8361,8,929.0,scrapy,4,13,282
dj-database-url,78797,85,916.2,jazzband,1,66,1457
query-string,2660,2,886.7,andrewpetrochenkov,2,,3
fcm-django,3546,3,886.5,xtrinch,1,53,793
djangorestframework-jwt,7069,7,883.6,jpadilla,1,,3183
python-apt,7854,8,872.7,,3,,
whitenoise,87775,106,820.3,evansd,2,68,2437
datashape,2403,2,801.0,,6,,
distro-info,3197,3,799.3,debian,3,,4
guzzle_sphinx_theme,3006,3,751.5,guzzle,1,,169
testpath,46233,62,733.9,jupyter,1,8,31
distribute,9985,13,713.2,,1,,
django-registration,4833,6,690.4,ubernostrum,1,49,895
odo,2044,2,681.3,blaze,5,,1003
lazy-object-proxy,86001,127,671.9,ionelmc,1,16,247
wadllib,3352,4,670.4,,7,,
heroku3,5313,7,664.1,martyzz1,1,43,122
coreapi,27673,41,658.9,core-api,1,,184
jdcal,16821,26,623.0,phn,2,,38
constantly,17374,27,620.5,twisted,2,7,23
terminado,56858,94,598.5,jupyter,3,50,359
mccabe,139502,240,578.8,PyCQA,1,26,672
django-allauth,34507,59,575.1,pennersr,1,680,8907
python-editor,32588,56,571.7,fmoo,1,9,88
virtualenvwrapper,4489,7,561.1,python-virtualenvwrapper,2,,102
discover,2218,3,554.5,,1,,
lazr.restfulclient,3299,5,549.8,,10,,
fastcache,6022,10,547.5,pbrady,1,,157
openapi-codec,3768,6,538.3,core-api,1,,32
django-templated-mail,2141,3,535.3,sunscrapers,2,,98
jupyter-console,37440,69,534.9,jupyter,9,61,250
mkl-random,8486,15,530.4,IntelPython,2,9,26
py-tgcalls,2056,3,514.0,pytgcalls,3,11,374
django-forms-bootstrap,2047,3,511.8,pinax,3,,174
python-http-client,3068,5,511.3,sendgrid,1,64,124
atomicwrites,67378,131,510.4,untitaker,1,,316
pykeyboard,2029,3,507.3,pystorage,1,2,82
