name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
bindex,291257,1,145628.5,gsamokovarov,1,,18
sass-listen,548808,3,137202.0,sass,2,,7
github-pages-health-check,327416,3,81854.0,github,1,28,150
jekyll-swiss,319381,3,79845.3,,1,,
jekyll-theme-cayman,318980,3,79745.0,pages-themes,1,28,1311
jekyll-theme-minimal,318889,3,79722.3,pages-themes,1,18,1582
jekyll-theme-slate,318710,3,79677.5,pages-themes,1,14,303
jekyll-theme-architect,318705,3,79676.3,pages-themes,1,11,298
jekyll-theme-leap-day,318684,3,79671.0,pages-themes,1,11,203
jekyll-theme-midnight,318647,3,79661.8,pages-themes,1,11,275
jekyll-theme-tactile,318598,3,79649.5,pages-themes,1,10,133
jekyll-theme-dinky,318587,3,79646.8,pages-themes,1,6,146
jekyll-theme-modernist,318566,3,79641.5,pages-themes,1,7,162
jekyll-theme-time-machine,318556,3,79639.0,pages-themes,1,8,94
jekyll-theme-merlot,318554,3,79638.5,pages-themes,1,4,112
websocket-extensions,378244,4,75648.8,faye,1,6,28
turbolinks-source,272280,3,68070.0,turbolinks,3,,12
jekyll-theme-hacker,318750,4,63750.0,pages-themes,1,15,892
jekyll-commonmark-ghpages,314709,4,62941.8,github,1,11,68
forwardable-extended,408440,6,58348.6,envygeeks,1,,4
jekyll-theme-primer,318675,5,53112.5,pages-themes,1,14,252
jekyll-watch,442518,9,44251.8,jekyll,5,13,95
minima,352420,8,39157.8,jekyll,6,89,3294
jekyll-titles-from-headings,319815,9,31981.5,benbalter,1,14,96
jekyll-commonmark,315257,9,31525.7,jekyll,5,14,39
rails_serve_static_assets,121808,3,30452.0,heroku,2,,49
pathutil,408620,13,29187.1,envygeeks,1,,11
rails-deprecated_sanitizer,145891,4,29178.2,rails,12,,8
jekyll-readme-index,319765,10,29069.5,benbalter,1,,92
actionmailbox,165669,5,27611.5,rails,12,6052,58039
coffee-script-source,971193,36,26248.5,,11,,
jekyll-relative-links,324585,12,24968.1,benbalter,1,19,145
jekyll-remote-theme,321643,12,24741.8,benbalter,1,,318
crass,345725,13,24694.6,rgrove,1,10,142
jekyll-avatar,320773,12,24674.8,jekyll,5,,92
jekyll-optional-front-matter,319831,12,24602.4,benbalter,1,,86
jekyll-coffeescript,338937,13,24209.8,jekyll,5,,56
rails-dom-testing,517928,21,23542.2,rails,12,32,168
hike,372609,15,23288.1,sstephenson,1,,139
jekyll-mentions,331894,14,22126.3,jekyll,5,16,201
actiontext,165710,7,20713.8,rails,12,6052,58039
spring-watcher-listen,268904,12,20684.9,rails,3,,65
ethon,367996,17,20444.2,typhoeus,2,72,140
jekyll-default-layout,319984,15,19999.0,benbalter,1,7,62
io-like,78800,3,19700.0,javanthropus,1,3,14
xpath,380872,19,19043.6,teamcapybara,2,29,131
ruby_dep,418400,22,18191.3,e2,1,,22
jekyll-sass-converter,443357,24,17734.3,jekyll,6,20,186
jekyll-github-metadata,323147,18,17007.7,jekyll,6,31,280
rails-html-sanitizer,517903,32,15694.0,rails,13,27,305
mini_portile2,732623,48,14951.5,flavorjones,3,26,119
rails_stdout_logging,122098,8,13566.4,heroku,2,,74
globalid,514218,37,13532.1,rails,12,67,1257
regexp_parser,242464,18,12761.3,ammar,2,17,145
debug_inspector,188756,14,12583.7,banister,3,9,58
actioncable,367148,29,12238.3,rails,13,6052,58039
colorator,450467,38,11550.4,octopress,3,,33
faraday-em_synchrony,22367,1,11183.5,lostisland,1,,3
rails_12factor,122957,10,11177.9,heroku,2,,843
ruby-enum,306598,27,10949.9,dblock,6,11,188
activerecord-deprecated_finders,98153,8,10905.9,rails,8,,70
mime-types-data,146977,13,10498.4,mime-types,1,23,46
mini_mime,364354,36,9847.4,discourse,2,26,99
journey,127110,12,9777.7,rails,2,,217
cocoapods-try,29316,2,9772.0,CocoaPods,11,,132
cocoapods-plugins,29187,2,9729.0,CocoaPods,12,38,82
unicode-display_width,464231,49,9284.6,janlelis,1,15,127
cocoapods-search,27428,2,9142.7,CocoaPods,8,11,15
domain_name,90635,9,9063.5,knu,1,3,109
unf_ext,222320,24,8892.8,knu,1,10,32
shellany,35417,3,8854.3,,2,,
rack-ssl,145384,16,8552.0,,1,,
debugger-linecache,48632,5,8105.3,cldwalker,1,,2
atomos,32292,3,8073.0,segiddins,1,,2
jekyll-gist,353649,43,8037.5,jekyll,6,,263
github-pages,368990,45,8021.5,github,1,82,1811
web-console,441206,55,7878.7,rails,13,,1417
jemoji,344836,45,7496.4,jekyll,6,17,555
faraday-em_http,22369,2,7456.3,lostisland,1,3,1
nio4r,380002,51,7307.7,socketry,2,57,983
cocoapods-trunk,29154,3,7288.5,CocoaPods,10,22,17
sawyer,348579,47,7262.1,lostisland,3,,251
rspec-support,262654,36,7098.8,rspec,1,,81
notiffany,35404,4,7080.8,guard,2,,34
dnsruby,313748,44,6972.2,alexdalitz,1,30,195
nanaimo,33352,4,6670.4,CocoaPods,5,12,40
arel,726554,108,6665.6,rails,14,,2053
thread_safe,1055818,158,6640.4,ruby-concurrency,4,,193
cocoapods-deintegrate,26520,3,6630.0,CocoaPods,8,,1081
multi_test,25114,3,6278.5,,3,,
websocket-driver,389382,62,6180.7,faye,1,19,229
mercenary,443772,71,6163.5,jekyll,6,15,152
jekyll-redirect-from,355202,57,6124.2,jekyll,5,37,807
marcel,290032,48,5919.0,rails,12,30,431
faraday-net_http,112165,18,5903.4,lostisland,3,18,19
net-protocol,35266,5,5877.7,ruby,2,25,28
loofah,519899,88,5841.6,flavorjones,2,63,978
mini_portile,195574,33,5752.2,flavorjones,2,26,119
bootsnap,281119,50,5512.1,rails,3,101,2706
faraday-excon,92353,16,5432.5,excon,2,8,4
polyglot,328754,63,5136.8,cjheath,1,,50
yell,254911,49,5098.2,rudionrails,1,,311
tzinfo-data,659552,129,5073.5,tzinfo,1,2,129
public_suffix,760707,149,5071.4,weppos,1,42,644
gemoji,337940,66,5043.9,github,4,49,4491
aws-eventstream,29549,5,4924.8,aws,1,250,3620
aws-partitions,29135,5,4855.8,aws,1,250,3620
columnize,103362,21,4698.3,rocky,2,8,37
erubi,334452,71,4645.2,jeremyevans,1,16,373
metaclass,23012,4,4602.4,floehopper,1,,7
commonmarker,317893,69,4541.3,gjtorikian,2,41,518
http_parser.rb,427811,95,4456.4,tmm1,2,,201
simpleidn,127923,28,4411.1,mmriis,1,,70
activestorage,289858,65,4391.8,rails,12,6052,58039
cocoapods-downloader,30119,6,4302.7,CocoaPods,10,34,86
semantic_range,33210,7,4151.3,librariesio,1,,22
method_source,558379,134,4136.1,banister,4,22,371
faraday-patron,20003,4,4000.6,lostisland,1,,0
babel-source,11741,2,3913.7,babel,3,,161
spring,499585,127,3903.0,rails,14,135,2817
html-pipeline,338530,87,3846.9,gjtorikian,2,109,2260
declarative,26022,6,3717.4,apotonick,2,,22
declarative-option,18146,4,3629.2,apotonick,1,,7
safe_yaml,492513,138,3543.3,dtao,1,20,219
turbolinks,538575,156,3430.4,turbolinks,14,,56
aws_cf_signer,10252,2,3417.3,dylanvaughn,1,,100
rails_layout,6589,1,3294.5,RailsApps,1,,570
lumberjack,64018,19,3200.9,bdurand,1,11,305
execjs,1039081,324,3197.2,rails,13,57,552
unf,222761,71,3093.9,knu,1,7,75
ast,92629,29,3087.6,whitequark,3,20,200
faraday-rack,18076,5,3012.7,lostisland,1,,2
polyamorous,25943,8,2882.6,activerecord-hackery,6,238,5843
padrino-support,14264,4,2852.8,,3,,
ref,56640,19,2832.0,ruby-concurrency,4,,64
tzinfo,1350059,484,2783.6,tzinfo,1,21,372
gh_inspector,33351,11,2779.3,orta,3,,49
html-proofer,269500,96,2778.4,gjtorikian,1,89,1555
case_transform,16480,5,2746.7,rails-api,2,,16
commonjs,27252,9,2725.2,cowboyd,1,,62
em-websocket,411081,152,2686.8,igrigorik,2,,1690
orm_adapter,222968,83,2654.4,ianwhite,2,,195
jaro_winkler,31539,11,2628.3,tonytonyjan,1,12,202
kaminari-core,33793,12,2599.5,kaminari,1,180,8667
net-pop,33565,12,2581.9,ruby,1,29,20
libv8,77428,29,2580.9,rubyjs,4,44,270
actionmailer,866614,336,2571.6,rails,12,6052,58039
faraday-net_http_persistent,92373,35,2565.9,lostisland,1,12,18
rack-proxy,124808,48,2547.1,ncr,1,51,268
sprockets-rails,688377,271,2530.8,rails,13,86,592
rb-inotify,857448,347,2463.9,guard,2,36,315
jbuilder,609213,249,2436.9,rails,13,147,4408
cucumber-wire,7303,2,2434.3,,1,,
temple,55893,22,2430.1,judofyr,3,38,500
jmespath,36181,14,2412.1,jmespath,1,,155
kaminari-actionview,33659,13,2404.2,kaminari,1,180,8667
kaminari-activerecord,33646,13,2403.3,kaminari,1,180,8667
ruby2_keywords,134322,55,2398.6,ruby,3,,63
ruby-macho,26346,10,2395.1,Homebrew,2,20,253
raindrops,44771,18,2356.4,,1,,
powerpack,23446,9,2344.6,bbatsov,1,16,271
sdoc,293921,125,2332.7,zzak,3,,0
archive-zip,78083,33,2296.6,javanthropus,1,,85
activejob,514279,223,2295.9,rails,12,6052,58039
coffee-script,973159,424,2289.8,rails,13,,27
xcpretty-travis-formatter,20545,8,2282.8,kattrali,1,,59
cocoapods-stats,6622,2,2207.3,CocoaPods,9,,6
rack-protection,127710,59,2128.5,sinatra,5,529,12391
molinillo,29598,13,2114.1,CocoaPods,9,20,419
popper_js,29571,13,2112.2,glebm,1,2,24
wdm,60958,28,2102.0,Maher4Ever,2,4,55
fog-aliyun,6124,2,2041.3,fog,6,,38
libwebsocket,14225,6,2032.1,imanel,1,,9
rack-mount,54631,26,2023.4,,1,,
formtastic_i18n,10091,4,2018.2,formtastic,2,,6
google-apis-storage_v1,10055,4,2011.0,googleapis,1,151,2875
faraday-httpclient,20011,9,2001.1,lostisland,1,4,5
emoji_regex,19898,9,1989.8,ticky,1,5,40
jekyll-sitemap,407075,204,1985.7,jekyll,6,39,966
jekyll-twitter-plugin,5844,2,1948.0,rob-murray,1,,234
airbrussh,15284,7,1910.5,mattbrictson,1,12,512
kgio,45833,23,1909.7,,1,,
jsonapi-renderer,17066,8,1896.2,jsonapi-rb,3,6,29
redis-actionpack,5505,2,1835.0,redis-store,5,20,78
jekyll-paginate,374578,209,1783.7,jekyll,5,,113
kramdown-parser-gfm,174670,97,1782.3,kramdown,1,,54
trailblazer-option,7088,3,1772.0,,1,,
fourflusher,26362,14,1757.5,CocoaPods,5,10,33
compass-import-once,21003,11,1750.3,Compass,2,239,6743
nap,31250,17,1736.1,Fingertips,3,,33
http-accept,27635,15,1727.2,socketry,1,8,81
multipart-post,470132,275,1703.4,socketry,1,40,296
rack-mini-profiler,32068,18,1687.8,MiniProfiler,3,208,3725
rb-kqueue,16840,9,1684.0,mat813,3,14,22
childprocess,307829,182,1682.1,enkessler,3,51,582
google-apis-iamcredentials_v1,10056,5,1676.0,googleapis,1,151,2875
nenv,36718,21,1669.0,e2,1,,82
rouge,468217,282,1654.5,rouge-ruby,4,436,3410
simctl,19805,11,1650.4,plu,3,,104
commander-fastlane,9888,5,1648.0,fastlane,4,,3
strscan,18009,10,1637.2,ruby,4,41,80
actionview,601072,369,1624.5,rails,12,6052,58039
simplecov-html,81064,49,1621.3,simplecov-ruby,7,48,74
racc,244046,151,1605.6,ruby,6,49,552
rack-cache,150895,93,1605.3,rack,3,,39
em-socksify,6403,3,1600.8,igrigorik,1,,32
axiom-types,9396,5,1566.0,dkubb,3,,38
warden,226049,146,1537.7,wardencommunity,3,55,2462
algoliasearch,25013,16,1471.4,algolia,4,2,169
net-imap,33570,22,1459.6,ruby,4,47,96
compass-core,17507,11,1458.9,,2,,
uglifier,674411,468,1438.0,lautis,1,33,612
http-cookie,89575,62,1421.8,sparklemotion,2,12,115
mail,872897,621,1403.4,mikel,3,278,3660
et-orbi,5575,3,1393.8,floraison,1,9,26
debugger-ruby_core_source,19395,13,1385.4,cldwalker,3,,19
reline,28587,20,1361.3,ruby,7,72,291
uniform_notifier,12017,8,1335.2,flyerhzm,1,,240
bootstrap-will_paginate,22079,16,1298.8,yrgoldteeth,1,10,199
sprockets,862908,666,1293.7,rails,13,248,973
google-cloud-env,21111,16,1241.8,googleapis,1,11,4
diff-lcs,405064,329,1227.5,halostatue,1,31,300
tilt,898062,735,1220.2,jeremyevans,1,114,71
jekyll-feed,393114,325,1205.9,jekyll,6,39,834
uber,35642,29,1188.1,apotonick,1,,94
liquid,459017,394,1162.1,Shopify,4,185,11636
concurrent-ruby,878681,757,1159.2,ruby-concurrency,5,175,5701
atomic,72997,62,1158.7,ruby-concurrency,4,,24
listen,848928,732,1158.2,guard,4,99,1948
cucumber-core,10224,8,1136.0,cucumber,1,57,37
capistrano3-unicorn,6614,5,1102.3,tablexi,1,,231
erubis,579248,534,1082.7,,1,,
mimemagic,210567,194,1079.8,mimemagicrb,2,32,424
treetop,327629,303,1077.7,cjheath,6,,313
webpacker,120458,111,1075.5,rails,13,462,5287
circleci,12832,11,1069.3,mtchavez,1,25,95
rack-pjax,8499,7,1062.4,eval,1,,206
httpauth,12744,11,1062.0,Manfred,4,,4
naturally,20145,18,1060.3,dogweather,1,14,86
rb-fsevent,869117,832,1043.4,guard,2,26,245
cocoapods-core,30175,28,1040.5,CocoaPods,10,412,14570
coderay,326686,316,1030.6,rubychan,1,27,853
aws-sdk-kms,27808,26,1029.9,aws,1,250,3634
hitimes,34821,33,1024.1,copiousfreetime,1,11,150
websocket,77101,75,1014.5,imanel,1,17,454
